"cluster","avg_performance_lm","avg_performance_rf","avg_performance_xgb","avg_weighted_avg","avg_avg_welo_rescaled"
"1",-0.156441769249428,-0.269869183201932,-0.15273791810853,-0.292858040823124,-0.556952951236143
"2",0.107518565730097,0.241515508767802,0.0994759606471788,0.202447110514801,-0.38406998724723
"3",0.116383453925464,0.20596483266486,0.116215262361544,0.202462500464844,-0.366565669749198
"4",-0.10434900748491,-0.244007446374322,-0.1017949559643,-0.165649481074879,-0.608527632032857
