"Feature","Gain","Cover","Frequency"
"location_entropy",0.302664445770782,0.198622384632798,0.197696737044146
"avg_speed",0.167640123544554,0.11590078582285,0.245681381957774
"sd_speed",0.163781853957338,0.2119134624713,0.236084452975048
"cluster4.avg_speed",0.114341191277236,0.0415548297383824,0.0249520153550864
"cluster3.sd_speed",0.0702727101333356,0.0676519095818646,0.0460652591170825
"cluster3.avg_speed",0.0470954090153229,0.106425637874721,0.0652591170825336
"cluster4.sd_speed",0.0466186089475854,0.11567441710054,0.0710172744721689
"modal_locationWC_DNCTL",0.024585228146771,0.0271642466772305,0.017274472168906
"cluster3.location_entropy",0.0167951396951222,0.0237687158425767,0.0191938579654511
"cluster3.modal_locationWB_DNCTL",0.0166999342849988,0.00714678394722375,0.00575815738963532
"cluster4.location_entropy",0.0077439786925509,0.0404229861268312,0.0249520153550864
"modal_locationWB_DNCTL",0.00743574815059733,0.0148433205057724,0.0230326295585413
"cluster2.location_entropy",0.0068439621098446,0.00979853183714387,0.00575815738963532
"cluster2.avg_speed",0.00344231936844196,0.00455971283510655,0.00383877159309021
"cluster1",0.00257001357200532,0.00756718300294279,0.00767754318618042
"cluster3.modal_locationWBW_DNCTL",0.000927394353329795,0.000355722277916114,0.00191938579654511
"cluster4.modal_locationWB_DNCTL",0.000541938980183089,0.00662936972480031,0.00383877159309021
