"ServerName","avg_speed","sd_speed","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"ajla tomljanovic",101.597014925373,7.10184805086705,2.93353042087278,0.548507462686567,268,-0.0110787303346103,-0.269526050587452,-0.0163537650442339,0.559586193021177,0.818033513274019,0.564861227730801,0.192371845241682
"aliaksandra sasnovich",95.6129032258064,5.83194942159609,2.94968904187208,0.467741935483871,62,-0.0677397476614538,-0.225579354194816,-0.0431340924936629,0.535481683145325,0.693321289678687,0.510876027977534,-1.91285436042789
"alison van uytvanck",104.904255319149,4.75206610172738,2.71789552209591,0.521276595744681,94,-0.0448322782394943,-0.24271599010408,-0.00107150005076129,0.566108873984175,0.763992585848761,0.522348095795442,-0.29639115320571
"alize cornet",97.3112582781457,6.05770631010735,2.93798142245431,0.543046357615894,151,0.00106127632113839,-0.184483832508479,0.00544050445014066,0.541985081294756,0.727530190124373,0.537605853165753,-1.40146701799479
"amanda anisimova",99.9567567567568,5.96896596083427,2.85027738517195,0.583783783783784,185,0.0319022114415763,-0.164148585893131,0.016806485578972,0.551881572342207,0.747932369676915,0.566977298204812,-0.581806305684316
"anastasia pavlyuchenkova",98.1134020618557,6.10477321558678,2.78923612536984,0.536082474226804,97,-0.0114662721717758,-0.16781005123853,0.00379030099619992,0.54754874639858,0.703892525465334,0.532292173230604,-0.273836690997064
"anastasia potapova",99.3953488372093,9.01622752618781,2.90141766097446,0.534883720930233,43,-0.0249002975802728,-0.289111642329806,-0.00308653919189739,0.559784018510505,0.823995363260038,0.53797026012213,2.02284137209948
"anastasija sevastova",97.8,7.46073052723391,3.02472918172222,0.630769230769231,65,0.083921615369477,-0.16170670309798,0.0483042499331482,0.546847615399754,0.79247593386721,0.582464980836083,-0.526412586821351
"andrea petkovic",96.975,4.88581148287097,2.93942247123367,0.6,40,0.0632373390525406,-0.0869090347315875,0.0549014663025268,0.536762660947459,0.686909034731587,0.545098533697473,-2.61102195753576
"anett kontaveit",96.804347826087,6.44032476560606,2.87333203223115,0.554347826086957,92,0.0114412651109823,-0.158372543892678,0.0115236499239969,0.542906560975974,0.712720369979634,0.54282417616296,-0.659706909940057
"angelique kerber",93.1036585365854,7.14987555969555,2.93571314422866,0.600609756097561,328,0.0683576106912833,-0.0822505191969425,0.0195286765087848,0.532252145406278,0.682860275294503,0.581081079588776,-0.829787952190031
"anhelina kalinina",95.4615384615385,5.70382799934867,2.99487407076071,0.615384615384615,65,0.081693586868255,-0.0836518053965321,0.0482584415785405,0.53369102851636,0.699036420781147,0.567126173806075,-2.35643175212721
"anna blinkova",102.432432432432,9.78814629068282,2.74903275915172,0.459459459459459,37,-0.115723948075168,-0.389100980061321,-0.0409130746799692,0.575183407534628,0.84856043952078,0.500372534139429,4.16858281026991
