"cluster","avg_overperf_lm","avg_overperf_glm","avg_overperf_rf","avg_overperf_xgb","avg_rf_weighted_baseline"
"1",0.00216810053453067,0.0320596299609701,0.00389751033248655,0.000147090024432958,1.39903708410286
"2",0.00548712745845195,0.105230914287387,0.00120246803538834,2.55738659112701e-05,-0.544150679028023
"3",-0.00664834595318651,-0.1208097793505,-0.00468882359270943,6.80160820380251e-06,-0.0764925558287967
"4",0.000306332355437608,0.0100745917361268,0.000336156602337742,-0.00019590073310971,-0.844339893234942
