"ServerName","avg_speed","sd_speed","ace_pct","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"ajla tomljanovic",83.6752136752137,7.56560850599727,0.00854700854700855,2.49890715694713,0.495726495726496,117,0.0232272010517709,0.117055715762244,-0.000470722980584148,0.472499294674725,0.378670779964252,0.49619721870708,0.65584744099795
"aleksandra krunic",78.1224489795918,5.31363283239923,0,2.24156264992859,0.469387755102041,49,0.0174010612812133,0.206768625514916,0.0297420961089672,0.451986693820828,0.262619129587125,0.439645658993074,-0.765194896688808
"aliaksandra sasnovich",81.0344827586207,5.32114457164331,0,2.78066078838305,0.5,58,0.0157341919206049,0.1561410077569,0.0271490421686912,0.484265808079395,0.3438589922431,0.472850957831309,-0.00187711705971341
"alison van uytvanck",79.1311475409836,5.45733576584785,0,2.74928847007672,0.475409836065574,61,-0.000190645462780081,0.199078152419948,0.00493133771190951,0.475600481528354,0.276331683645626,0.470478498353664,-0.530172188529293
"alizé cornet",78.8595041322314,6.5374635564618,0,2.57116137797781,0.462809917355372,121,0.000674556651452884,0.211141010848282,-0.000599937962818875,0.462135360703919,0.25166890650709,0.463409855318191,-0.493672809098179
"amanda anisimova",86.2264150943396,7.59463755511834,0.0188679245283019,2.72074857280812,0.452830188679245,53,-0.0391497682122707,0.00962158775084249,-0.0278523714074784,0.491979956891516,0.443208600928403,0.480682560086724,0.969202175671456
"ana bogdan",77.0769230769231,6.17532309961312,0,2.53361841371894,0.446153846153846,65,-0.00990231022862076,0.237786142840747,-0.013547782175801,0.456056156382467,0.2083677033131,0.459701628329647,-1.0287469578893
"anastasia pavlyuchenkova",83.992,5.27394080483496,0.008,2.85405480553281,0.472,125,-0.0271382624371455,0.0362515953351475,-0.0107252237934685,0.499138262437145,0.435748404664852,0.482725223793468,0.527822110126465
"anastasia potapova",83.3454545454545,4.97965837160692,0,2.93261050852684,0.490909090909091,110,-0.00938247201001358,0.0558708506263488,4.74412299539262e-05,0.500291562919104,0.435038240282742,0.490861649679137,0.610043556446777
"andrea petkovic",87.2962962962963,3.24410488798012,0,2.70732407567664,0.518518518518518,27,0.00507493373588008,-0.124763503097719,0.0102386824955899,0.513443584782638,0.643282021616237,0.508279836022929,1.62134397746559
"anett kontaveit",80.7924528301887,3.99210032711738,0,2.65165779735801,0.39622641509434,53,-0.0883450867247225,0.025499346380445,-0.0669951381759853,0.484571501819062,0.370727068713895,0.463221553270325,-0.166649002228959
"angelique kerber",76.85,4.87409270131549,0,2.74031814568337,0.5,60,0.0300026506374747,0.280760250496402,0.00652571805660751,0.469997349362525,0.219239749503598,0.493474281943392,-1.23004341537368
"anhelina kalinina",78.2542372881356,8.09340561781304,0,2.53880265268901,0.423728813559322,59,-0.027416148532525,0.216537524259841,-0.0297599947295388,0.451144962091847,0.207191289299481,0.453488808288861,-0.531077349591811
"anna blinkova",78.8571428571429,7.60086240131325,0,2.32728986734457,0.457142857142857,35,0.0101266011410882,0.218719147768755,0.0148975513633859,0.447016256001769,0.238423709374102,0.442245305779471,-0.373187037803047
"anna bondar",86.1111111111111,5.11615089691459,0,2.69601319936368,0.518518518518518,81,0.0187839004372084,-0.0333184324629153,0.0125661843383356,0.49973461808131,0.551836950981434,0.505952334180183,1.44222393067644
"anna kalinskaya",84.8333333333333,5.43059315280955,0,2.82604275432133,0.5,78,0.000988440470417185,0.0126651951077664,0.0181755697394275,0.499011559529583,0.487334804892234,0.481824430260573,1.08695143653248
"arantxa rus",81.4027777777778,7.37460377970696,0,2.98176318571928,0.430555555555556,72,-0.0532908625135688,0.126524731872241,-0.0275283133968511,0.483846418069124,0.304030823683314,0.458083868952407,0.250860210017526
"aryna sabalenka",88.7252747252747,7.66171604934792,0.0175824175824176,2.79836324166991,0.545054945054945,455,0.0415922136911956,0.00263504183436647,0.0185761570394489,0.503462731363749,0.542419903220579,0.526478788015496,1.72737999195124
"ashleigh barty",84.2121212121212,5.15458019335202,0,2.50777559040323,0.545454545454545,66,0.0603062684462929,0.0638211860524358,0.027224246013298,0.485148277008252,0.48163335940211,0.518230299441247,0.927097424030407
"ashlyn krueger",93.0769230769231,8.04362164515695,0,2.3634612874969,0.538461538461538,52,0.0418723497431772,-0.208962139720355,0.032050668361445,0.496589188718361,0.747423678181893,0.506410870100093,3.7224875190207
