"cluster","avg_overperf_lm","avg_overperf_glm","avg_overperf_rf","avg_overperf_xgb","avg_rf_weighted_baseline"
"1",-0.00859184060967638,-0.0679689178217365,-0.00311477637337457,-7.13047165466999e-05,-0.117937034371522
"2",0.00845311426291093,0.0081606709385673,0.00926434797119361,1.59582641773118e-05,1.44019474887683
"3",0.00201569617505302,0.0448608844673077,0.0027922657132495,0.000251299903386907,0.0801718985288274
"4",-0.00106125713325077,-0.0086060954775876,-0.0110842495249605,-0.000409661802650739,-1.31540631471671
