"Estimate","Std. Error","z value","Pr(>|z|)","term","model","predictor","outcome","serve_type","n_servers","correlation"
0.353938067040033,0.0291152111259771,12.1564657562879,5.30025416270331e-34,"(Intercept)","win_sqs_first","sqs","win","first",65,NA
0.133669165566012,0.0299584602767809,4.46181694022545,8.1267637262534e-06,"SQS_z","win_sqs_first","sqs","win","first",65,0.447072916211622
0.356806315537346,0.0292735470582918,12.188694278382,3.57097070294332e-34,"(Intercept)","win_welo_first","welo","win","first",65,NA
-0.0150705292935068,0.0308677192516599,-0.488229440297775,0.62538733367601,"welo_z","win_welo_first","welo","win","first",65,-0.122619462043247
0.35044601307506,0.029123258208451,12.0332007691834,2.37761044409434e-33,"(Intercept)","win_ace_rate_first","ace_rate","win","first",65,NA
0.139919447594314,0.031215324548204,4.48239605448424,7.38095969694003e-06,"ace_rate_z","win_ace_rate_first","ace_rate","win","first",65,0.362651218199357
0.344346909978443,0.02920465737765,11.7908217694746,4.3527296843017e-32,"(Intercept)","win_unreturned_rate_first","unreturned_rate","win","first",65,NA
0.117038564913256,0.0301562684962993,3.88106920216665,0.000103998240774292,"unreturned_rate_z","win_unreturned_rate_first","unreturned_rate","win","first",65,0.299763683433293
0.339137743108885,0.0294487858926541,11.5161876060052,1.09342635073668e-30,"(Intercept)","win_first_serve_points_won_first","first_serve_points_won","win","first",65,NA
0.107252823707853,0.0321924858792182,3.33161049166103,0.0008634501572791,"first_serve_points_won_z","win_first_serve_points_won_first","first_serve_points_won","win","first",65,0.3285934791621
0.352952574358059,0.0290848387028926,12.1352770068123,6.86772043339234e-34,"(Intercept)","win_first_serve_in_pct_first","first_serve_in_pct","win","first",65,NA
-0.0906426453377083,0.0321333679290403,-2.82082617476865,0.0047900150209248,"first_serve_in_pct_z","win_first_serve_in_pct_first","first_serve_in_pct","win","first",65,-0.293709041625928
0.340597628510196,0.0292573788507767,11.6414266037764,2.53735557349049e-31,"(Intercept)","win_random_effects_only_first","random_effects_only","win","first",65,NA
0.127007547258966,0.0286216857160156,4.43745866400515,9.10271952229563e-06,"random_effects_only_z","win_random_effects_only_first","random_effects_only","win","first",65,0.449343496913
0.360344159933667,0.0291493947351969,12.3619774340825,4.19703562383449e-35,"(Intercept)","win_fixed_effects_only_first","fixed_effects_only","win","first",65,NA
0.128336415634524,0.0308515551028547,4.15980378320215,3.18521115088888e-05,"fixed_effects_only_z","win_fixed_effects_only_first","fixed_effects_only","win","first",65,0.402596473880803
-0.42642122298055,0.0295998743381659,-14.4061835570269,4.73142519524756e-47,"(Intercept)","eff_sqs_first","sqs","eff","first",65,NA
0.300830781888889,0.0306795871021192,9.80556814169475,1.06545718506897e-22,"SQS_z","eff_sqs_first","sqs","eff","first",65,0.563481164663396
-0.409675332511218,0.029410598592409,-13.9295135807592,4.19200668402383e-44,"(Intercept)","eff_welo_first","welo","eff","first",65,NA
-0.0204302129697805,0.031078877032368,-0.657366511296496,0.510945279324539,"welo_z","eff_welo_first","welo","eff","first",65,-0.102128517798531
-0.431890560760527,0.0296120326204546,-14.5849684247003,3.50083922921625e-48,"(Intercept)","eff_ace_rate_first","ace_rate","eff","first",65,NA
0.292104293099008,0.0313972298674962,9.30350525609291,1.35890200711216e-20,"ace_rate_z","eff_ace_rate_first","ace_rate","eff","first",65,0.462859198272296
-0.441018581908634,0.0297168734105531,-14.8406790921692,7.99425675103654e-50,"(Intercept)","eff_unreturned_rate_first","unreturned_rate","eff","first",65,NA
0.236691483834979,0.0307201584715119,7.70476116047619,1.31088231425729e-14,"unreturned_rate_z","eff_unreturned_rate_first","unreturned_rate","eff","first",65,0.445591759704383
-0.442587771825487,0.0299815431802801,-14.7620077180214,2.57499610500122e-49,"(Intercept)","eff_first_serve_points_won_first","first_serve_points_won","eff","first",65,NA
0.17829221380801,0.0335857943778605,5.30856027408836,1.10494546707914e-07,"first_serve_points_won_z","eff_first_serve_points_won_first","first_serve_points_won","eff","first",65,0.373000023448271
-0.416278649894146,0.0292906831430561,-14.2119816004644,7.72093827620127e-46,"(Intercept)","eff_first_serve_in_pct_first","first_serve_in_pct","eff","first",65,NA
-0.110390394105808,0.0327153708866255,-3.37426693062304,0.000740125609113754,"first_serve_in_pct_z","eff_first_serve_in_pct_first","first_serve_in_pct","eff","first",65,-0.236533373300677
-0.451115761494464,0.029873541705546,-15.1008462920456,1.59868276931246e-51,"(Intercept)","eff_random_effects_only_first","random_effects_only","eff","first",65,NA
0.259398147285861,0.0286858527304752,9.04272045607633,1.52820299293415e-19,"random_effects_only_z","eff_random_effects_only_first","random_effects_only","eff","first",65,0.548776710763783
-0.410751810183937,0.0294893290727661,-13.9288286000129,4.23240096969973e-44,"(Intercept)","eff_fixed_effects_only_first","fixed_effects_only","eff","first",65,NA
0.295834439197587,0.0317068339998468,9.33030523321932,1.05566451307704e-20,"fixed_effects_only_z","eff_fixed_effects_only_first","fixed_effects_only","eff","first",65,0.501997112094353
-0.082222149443558,0.0428620986363046,-1.91829499860082,0.0550736162474419,"(Intercept)","win_sqs_second","sqs","win","second",45,NA
0.0479967385606473,0.0420800511190848,1.14060551934261,0.254034119398364,"SQS_z","win_sqs_second","sqs","win","second",45,0.215234904194139
-0.095328901325205,0.0427714476890586,-2.22879763196772,0.025827372585141,"(Intercept)","win_welo_second","welo","win","second",45,NA
0.0999134916164896,0.0472107491512155,2.11632929815343,0.0343168106142914,"welo_z","win_welo_second","welo","win","second",45,0.287460112869845
