"Estimate","Std. Error","z value","Pr(>|z|)","term","model","predictor","outcome","serve_type","n_servers","correlation"
0.371565041091524,0.0239809051562168,15.4942041875012,3.7963231360775e-54,"(Intercept)","win_sqs_first","sqs","win","first",63,NA
0.0847193828986146,0.0260941510153147,3.24668094581398,0.00116759200743261,"SQS_z","win_sqs_first","sqs","win","first",63,0.217687769768457
0.342067031088751,0.0259402945228023,13.1867057557139,1.04659640988085e-39,"(Intercept)","win_welo_first","welo","win","first",63,NA
0.0751464127229957,0.0241913061048206,3.10633962454889,0.00189419025217796,"welo_z","win_welo_first","welo","win","first",63,0.193716213309507
0.354391896781834,0.0242104041242048,14.6380000500497,1.60726783417484e-48,"(Intercept)","win_ace_rate_first","ace_rate","win","first",63,NA
0.142761788081857,0.0258518072193137,5.52231365763863,3.34564544936048e-08,"ace_rate_z","win_ace_rate_first","ace_rate","win","first",63,0.528160177161351
0.357974325584393,0.0243412926811049,14.7064632217447,5.8590619592981e-49,"(Intercept)","win_unreturned_rate_first","unreturned_rate","win","first",63,NA
0.0833414161113693,0.0236690508160337,3.521113573972,0.000429738513182472,"unreturned_rate_z","win_unreturned_rate_first","unreturned_rate","win","first",63,0.412851229425176
0.365498840720836,0.0240697285315231,15.1850005388369,4.44559581165713e-52,"(Intercept)","win_first_serve_points_won_first","first_serve_points_won","win","first",63,NA
0.0965856363729719,0.0277996525619144,3.47434688825193,0.000512098530085406,"first_serve_points_won_z","win_first_serve_points_won_first","first_serve_points_won","win","first",63,0.365440946465897
0.375611963381245,0.0239929231163613,15.6551147002637,3.06560056034272e-55,"(Intercept)","win_first_serve_in_pct_first","first_serve_in_pct","win","first",63,NA
-0.0802368029013816,0.0276166778457717,-2.9053749096641,0.00366813437930606,"first_serve_in_pct_z","win_first_serve_in_pct_first","first_serve_in_pct","win","first",63,-0.247428701759026
0.353441133589245,0.0243051781770322,14.5418038499811,6.58346820238169e-48,"(Intercept)","win_random_effects_only_first","random_effects_only","win","first",63,NA
0.105132157579299,0.0217878804195989,4.82525860958596,1.39821720036292e-06,"random_effects_only_z","win_random_effects_only_first","random_effects_only","win","first",63,0.450340858489256
0.37317263775958,0.0239736759945425,15.5659331445261,1.24047724672842e-54,"(Intercept)","win_fixed_effects_only_first","fixed_effects_only","win","first",63,NA
0.0743441624936008,0.026530730373883,2.80219057093074,0.0050756881077352,"fixed_effects_only_z","win_fixed_effects_only_first","fixed_effects_only","win","first",63,0.176355796093713
-0.351653159876091,0.0239925857674938,-14.6567428489732,1.219858733958e-48,"(Intercept)","eff_sqs_first","sqs","eff","first",63,NA
