"cluster","n","WC_DNCTL","WW_DCTL","WBW_DNCTL","WB_DNCTL"
"1",1,0.111111111111111,0,0,0
"1",8,0,0.888888888888889,0,0
"2",25,1,0,0,0
"3",1,0,0,0.0188679245283019,0
"3",46,0.867924528301887,0,0,0
"3",6,0,0.113207547169811,0,0
"4",2,0,0,0.0740740740740741,0
"4",1,0,0,0,0.037037037037037
"4",17,0.62962962962963,0,0,0
"4",7,0,0.259259259259259,0,0
