"cluster","serve_n_service_points","serve_win_rate_serve","serve_ace_rate","serve_avg_distance_run_server","serve_serve_location_entropy","serve_serve_avg_first_speed","serve_serve_avg_second_speed","serve_serve_avg_speed_ratio_second","return_n_return_points","return_win_rate_return","return_return_ace_rate_against","return_avg_distance_run_returner"
"1",204.068965517241,0.502073801428754,0.0373559645168368,23.7590540821262,2.92788102197405,111.854087786426,93.2681714330977,0.833602340726962,195,0.418105337432113,0.0490824889368446,25.0566314395751
"2",302.962962962963,0.536294258517388,0.104415496365827,12.7285086589977,2.83452942218568,120.120223438406,103.522746996849,0.862280094715504,302.259259259259,0.413207495056045,0.0733064736279188,14.6365682910493
"3",576.295454545455,0.554512467236373,0.0601985223765092,15.5236347729819,2.92705307377251,116.527868362235,96.0375567189045,0.824630307331305,592.386363636364,0.452920236910004,0.0676263516080997,16.4386177523129
"4",113,0.479581974163344,0.0445557918741351,15.3655338954159,2.83222945531161,115.939066714409,96.7834991951015,0.834821840735768,97.2222222222222,0.366491948377288,0.104119550184187,15.3426749594899
