"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"avg_speed",0.538922745668242,-0.0134616886909586,-0.195579589054672,-0.287444449454113,-0.503491842833003,-0.17403939738256,-0.0765729711417736,0.537386202003081,-0.100320846830487
"sd_speed",0.506084654114318,-0.216653793215176,-0.186290651982673,0.144245092195776,0.640424267844431,-0.222816416445397,0.415958829646428,0.0886657624550221,0.0274743415311409
"win_rate",0.0803695023598008,0.822788610489284,-0.443264665178175,0.12446461125466,0.00535437982381584,0.230774933660778,0.217694761949827,-0.0507703995711907,-0.0364727356639689
"ace_pct",0.554949748885069,-0.163950880679222,-0.111797640856752,0.206078007344778,-0.210315200122376,0.223962634272381,-0.304132258649891,-0.647921960602778,0.059101477045878
"location_entropy",0.341720262397312,0.397491581749589,0.803991864796184,0.210449195879578,0.0503289298595674,-0.0185696184102779,-0.0440748105936113,0.128705668594313,0.114674984345461
"modal_location_WBC_DNCTL",-0.0877699611927044,-0.0858593154627617,-0.0372381780999738,0.721014595336365,-0.156829721255314,-0.156078391788599,-0.0347892612882303,0.138303771685952,-0.627998114207642
"modal_location_WBW_DNCTL",0.0670929661744337,0.23170383913964,0.0252258159136163,-0.418282087521397,0.358828135265081,-0.302935658178177,-0.438869500954442,-0.204628136479514,-0.557860969711418
"modal_location_WC_DNCTL",0.0993597028785956,-0.166675879101318,0.199703366811972,-0.255427502223726,0.0383278543394912,0.7165224446179,0.315976126502287,0.0538439203562083,-0.489498354259946
"modal_location_WW_DCTL",-0.0127277605008675,0.0466907982038655,0.172495693746907,-0.185082232863001,-0.367064505018976,-0.432165569448227,0.62098885576199,-0.447782343970521,-0.161270454142355
