"cluster","n","WB_DNCTL","WC_DNCTL","WW_DCTL","WBW_DNCTL"
"1",1,0.0526315789473684,0,0,0
"1",8,0,0.421052631578947,0,0
"1",10,0,0,0.526315789473684,0
"2",2,0,0,0,0.0512820512820513
"2",31,0,0.794871794871795,0,0
"2",6,0,0,0.153846153846154,0
"3",1,0,0,0,0.0625
"3",12,0,0.75,0,0
"3",3,0,0,0.1875,0
"4",38,0,0.95,0,0
"4",2,0,0,0.05,0
