"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL"
"1",28,0.636363636363636,0,0,0
"1",6,0,0.136363636363636,0,0
"1",10,0,0,0.227272727272727,0
"2",18,0.310344827586207,0,0,0
"2",35,0,0.603448275862069,0,0
"2",5,0,0,0.0862068965517241,0
"3",9,0.45,0,0,0
"3",6,0,0.3,0,0
"3",5,0,0,0.25,0
"4",4,0.333333333333333,0.333333333333333,0,0
"4",1,0,0,0.0833333333333333,0
"4",3,0,0,0,0.25
