"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WW_DCTL","WC_DNCTL"
"1",10,0.256410256410256,0,0,0,0
"1",24,0,0.615384615384615,0,0,0
"1",1,0,0,0.0256410256410256,0,0
"1",4,0,0,0,0.102564102564103,0
"2",68,0,0,0,0,1
"3",4,0,0.222222222222222,0,0,0
"3",11,0,0,0,0,0.611111111111111
"3",3,0,0,0,0.166666666666667,0
"4",1,0,0.0232558139534884,0,0,0
"4",42,0,0,0,0,0.976744186046512
