"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"avg_speed",0.55607409445669,-0.286386335219721,-0.186241747350803,-0.378734487499993,0.0695578618423556,0.1441553456441,0.194881747327193,0.605837019955579,-0.00148928963643043
"sd_speed",0.0619399822953054,0.902400672126058,0.207712927493777,-0.27785490352572,-0.0285524101678475,0.0457458285968118,0.0989296266189524,0.220481100758688,0.0134740529628252
"win_rate",0.454313986015171,0.259926484243437,-0.277076219237329,0.714436293476731,0.360983050345041,0.0518284600902047,-0.0667344007181826,0.0350421732787212,0.0130456942010915
"ace_pct",0.598927965224917,0.0226818260231737,0.0622961160797821,-0.370167501381026,0.0577701448659555,-0.126242205459914,-0.192136887470987,-0.666069022967893,-0.00519914616431766
"location_entropy",-0.207156012942877,0.184435749260058,-0.913744681325592,-0.241742304442732,-0.0859475666999319,-0.0825562353749461,-0.0702335227119733,-0.102605612101117,-0.00616285001451204
"modal_location_WBC_DNCTL",-0.094141534368964,0.00239417331254529,-0.0376288399607294,-0.0666928513385407,0.16875343419756,0.855553301459282,0.187034001324813,-0.249710036702303,-0.357045907624732
"modal_location_WBW_DNCTL",-0.149228971353195,-0.0166914600240418,0.0301131327750478,-0.13014302032126,0.611871293064458,-0.438964752233197,0.261314982362535,0.00572096141571214,-0.569397330851743
"modal_location_WC_DNCTL",0.209386819151246,0.0356730039176882,-0.0252565444821684,0.204271045608217,-0.657580978871709,-0.125885811770438,0.0809053862682741,0.022374625907353,-0.676175832793119
"modal_location_WW_DCTL",-0.0627755249506979,-0.00249114145389565,0.0602274679685475,-0.101796365653339,0.134299600259743,0.105730775217532,-0.892254617735895,0.257016195687269,-0.301118203615589
