"cluster","avg_speed","sd_speed","win_rate","ace_pct","location_entropy"
"1",103.636151956684,13.098642771533,0.524946537217477,0.0425252076786094,2.9198734793619
"2",100.702745160262,13.4843383907865,0.514672000455459,0.0387721420066223,2.83590012670652
"3",106.514482481447,13.8036912163109,0.562515136228283,0.0744259684200172,2.89770381970043
"4",114.270194209929,13.1350310188124,0.576161679477355,0.164214808376336,2.72949906212077
