year,ServerName,avg_speed,sd_speed,location_entropy,modal_location,n_serves,avg_speed_z,sd_speed_z,location_entropy_z,SQS_FE_logodds,SQS_FE_centered,SQS_percentile,SQS_rank
2017,Agnieszka Radwanska,92.44343891402715,6.678507926184948,2.8888563068708986,WC_DNCTL,221,-1.433759865477938,-0.02853362412239732,-0.02459578224057444,-0.6251634257408638,-0.2484182853924659,8.333333333333332,56
2017,Aliaksandra Sasnovich,98.2,5.4860324209885905,3.019250912838829,WBW_DNCTL,30,-0.21724505270421646,-0.9101941448139299,0.7328596362596941,-0.5947535740751361,-0.21800843372673817,11.666666666666666,54
2017,Alison Riske,95.53932584269663,6.49135120367387,2.8586892359330798,WC_DNCTL,89,-0.7795164289623199,-0.1669085363960604,-0.19983471311899328,-0.5067392651901668,-0.12999412484176887,30,43
2017,Ana Bogdan,94.11111111111111,9.413600427884807,2.7141924470932377,WBW_DNCTL,36,-1.08133627432609,1.9936656316947108,-1.0392089713574506,-0.43381995894940106,-0.05707481860100316,45,34
2017,Ana Konjuh,104.32941176470588,6.394544243214787,2.9903881357409645,WC_DNCTL,85,1.0780630477385464,-0.23848306752310894,0.5651972798036322,-0.3092507268441907,0.0674944135042072,60,25
2017,Anastasija Sevastova,96.26086956521739,5.863735943021835,2.7314193061059857,WBW_DNCTL,23,-0.627035005869411,-0.6309378561507745,-0.939139052006988,-0.45369600018144396,-0.07695085983304606,36.666666666666664,39
2017,Andrea Petkovic,89.61643835616438,6.6804651721482795,2.9159117083649226,WB_DNCTL,73,-2.0311804440139234,-0.027086528154696015,0.13256762424564913,-0.9607323675756841,-0.5839872272272862,0,61
2017,Anett Kontaveit,98,3.7496268471058976,2.8762319053407435,WW_DCTL,68,-0.2595103841965913,-2.194011074998175,-0.09793026776899319,-0.4593296984648131,-0.08258455811641519,35,40
2017,Angelique Kerber,90.36979166666667,6.0783474571443445,2.8978279370659235,WBW_DNCTL,192,-1.871976807017639,-0.4722641572251993,0.02751994642441004,-0.7566201872968404,-0.37987504694844254,3.3333333333333335,59
2017,Ashleigh Barty,90.32352941176471,8.02163962773762,2.46876982831924,WC_DNCTL,34,-1.8817532547127196,0.964515029865041,-2.4648560756449576,-0.37828746679343855,-0.0015423264450406537,51.66666666666667,30
