ServerName,years_present,mean_percentile,median_percentile,mean_centered_sqs,median_centered_sqs,total_serves
Coco Gauff,5,84.54356725146198,96,0.2716091844336937,0.3574012205200555,407
Donna Vekic,5,82.4452798663325,89.47368421052632,0.22631637015771125,0.23860884948890437,480
Katie Boulter,5,74.12456140350878,74,0.14043107847392808,0.09870193728279208,377
Maria Sakkari,5,73.3092731829574,68.33333333333333,0.1496724622090776,0.09232936326827806,300
Ons Jabeur,6,69.96160540239488,65.625,0.1292095725547907,0.10681847733157201,730
Ajla Tomljanovic,5,67.85183792815371,68.42105263157895,0.1930216937560753,0.13676707088826306,296
Madison Keys,6,67.78926482873851,68.21428571428572,0.10935817369581768,0.09903932265309884,626
Anett Kontaveit,5,59.916959064327486,73.33333333333333,0.04408525454193106,0.10105962965251902,277
Petra Kvitova,6,57.2208298524088,64.12280701754386,0.05105734894820102,0.08291191613323445,534
Garbine Muguruza,5,47.50952380952381,45.83333333333333,0.004527996350861152,0.008566674282887599,476
