year,ServerName,avg_speed,sd_speed,location_entropy,modal_location,n_serves,avg_speed_z,sd_speed_z,location_entropy_z,SQS_FE_logodds,SQS_FE_centered,SQS_percentile,SQS_rank,mean_percentile,mean_centered_sqs,years_present
2016,Alexander Zverev,127.15555555555555,4.436597317236022,2.7569068874356555,WC_DNCTL,90,2.546946929115179,-2.410433359602443,0.03592050685957967,0.22940540790511463,0.34397517053751236,89.58333333333334,6,90.07487643427869,0.3057711386241796,7
2016,Grigor Dimitrov,117.08148148148148,6.7215979042076395,2.686744732787111,WC_DNCTL,135,0.2253930233126529,-0.7326596004959794,-0.3911876252097422,-0.09320049450993947,0.021369268122458263,50,25,71.44253298803798,0.14512550424861134,6
2016,Marin Cilic,121.375,6.729211303578743,2.4252365990200597,WW_DCTL,152,1.2148273487911758,-0.727069421764619,-1.983103539047726,0.2378561864777716,0.35242594911016933,91.66666666666666,5,83.735803412274,0.2615660146513365,5
2016,Roger Federer,118.11275964391692,8.04335631155036,2.7050309432443336,WW_DCTL,337,0.4630493903759359,0.23784849668444114,-0.2798713574848762,-0.005679191438515779,0.10889057119388196,68.75,16,62.970269926152284,0.07447443799506388,5
2016,Sam Querrey,121.72727272727273,7.791119040742181,2.477643478253317,WW_DCTL,220,1.2960080230540747,0.052641947310434554,-1.6640796377861165,0.25308438452143023,0.36765414715382794,95.83333333333334,3,94.78202189966896,0.39300905876499387,5
2016,Taylor Fritz,112.20481927710843,8.527944075207563,2.8336757207985674,WW_DCTL,83,-0.8984258115098792,0.5936596235978359,0.5032464204239313,-0.3031967819660945,-0.18862701933369677,16.666666666666664,41,76.41046984831668,0.18680022142097885,6
2017,Alexander Zverev,123.85507246376811,6.190210002363756,2.696568790536267,WW_DCTL,207,1.7863559947589038,-1.1228339762504762,-0.33138423154828073,0.18869405273079742,0.3029694573463977,90.9090909090909,6,90.07487643427869,0.3057711386241796,7
2017,Daniil Medvedev,118.28571428571429,7.501000623381315,2.632864223987574,WW_DCTL,70,0.5029065049096384,-0.16037903415314914,-0.7191821627719143,0.024236172133485223,0.13851157674908549,70.9090909090909,17,74.32910442621875,0.1481309581109696,6
2017,Grigor Dimitrov,118.9047619047619,6.871953455331129,2.522659125438247,WW_DCTL,147,0.6455650169783831,-0.6222602423298128,-1.3900494418869673,0.08973144564177636,0.2040068502573766,80,12,71.44253298803798,0.14512550424861134,6
2017,John Isner,116.2909090909091,10.937978155877287,2.4052781896222046,WW_DCTL,110,0.043206907977617795,2.363239886357812,-2.104599222863211,0.14572850510326874,0.260003909718869,83.63636363636363,10,88.48637636872931,0.3405538401024923,5
2017,Marin Cilic,119.24651162790698,7.302946649191457,2.573329244910033,WW_DCTL,430,0.7243206821383423,-0.30580121158150847,-1.0815979670465654,0.08919066168742885,0.2034660663030291,78.18181818181819,13,83.735803412274,0.2615660146513365,5
2017,Roger Federer,115.57234726688102,7.683270931998987,2.5077609493146413,WW_DCTL,311,-0.12238448998778606,-0.02654609660092566,-1.4807412430049216,-0.01978424767880338,0.09449115693679687,63.63636363636363,21,62.970269926152284,0.07447443799506388,5
2017,Sam Querrey,122.684375,9.001762606049661,2.4180871361564207,WC_DNCTL,320,1.5165706775635106,0.9415633843924165,-2.026625488227934,0.33394808085361705,0.4482234854692173,98.18181818181819,2,94.78202189966896,0.39300905876499387,5
2018,Alexander Zverev,124.42514970059881,6.34870937043316,2.9067018797132405,WW_DCTL,167,1.91772936228053,-1.006454977444947,0.9477890158228383,0.10951523525886744,0.22954655610183178,83.33333333333334,11,90.07487643427869,0.3057711386241796,7
