ServerName,years_present,mean_percentile,median_percentile,mean_centered_sqs,median_centered_sqs,total_serves
Sam Querrey,5,94.78202189966896,95.83333333333334,0.39300905876499387,0.398304808877466,879
Matteo Berrettini,5,90.16722160562338,92.15686274509804,0.318243920202132,0.2879704721827683,999
Alexander Zverev,7,90.07487643427869,89.58333333333334,0.3057711386241796,0.3029694573463977,1105
John Isner,5,88.48637636872931,89.28571428571429,0.3405538401024923,0.3421437961803151,1067
Marin Cilic,5,83.735803412274,83.92857142857143,0.2615660146513365,0.24014267503423356,969
Taylor Fritz,6,76.41046984831668,88.45726970033297,0.18680022142097885,0.26769412093283573,976
Daniil Medvedev,6,74.32910442621875,75.97114317425084,0.1481309581109696,0.12901090669437149,1112
Grigor Dimitrov,6,71.44253298803798,74.31372549019608,0.14512550424861134,0.1420076571215459,758
Stefanos Tsitsipas,6,70.54102144002255,71.35854341736695,0.1308486437949635,0.12105091655706199,970
Roger Federer,5,62.970269926152284,63.63636363636363,0.07447443799506388,0.09449115693679687,1537
