year,ServerName,avg_speed,sd_speed,location_entropy,modal_location,n_serves,avg_speed_z,sd_speed_z,location_entropy_z,SQS_FE_logodds,SQS_FE_centered,SQS_percentile,SQS_rank,mean_percentile,years_present
2016,Alexander Zverev,127.15555555555555,4.436597317236022,2.7569068874356555,WC_DNCTL,90,2.546946929115179,-2.410433359602443,0.03592050685957967,0.2294189855535366,0.34398396763472694,89.58333333333334,6,90.07487643427869,7
2016,Grigor Dimitrov,117.08148148148148,6.7215979042076395,2.686744732787111,WC_DNCTL,135,0.2253930233126529,-0.7326596004959794,-0.3911876252097422,-0.09319417441647074,0.021370807664719577,50,25,71.44253298803798,6
2016,Marin Cilic,121.375,6.729211303578743,2.4252365990200597,WW_DCTL,152,1.2148273487911758,-0.727069421764619,-1.983103539047726,0.23786619967524003,0.35243118175643035,91.66666666666666,5,83.735803412274,5
2016,Roger Federer,118.11275964391692,8.04335631155036,2.7050309432443336,WW_DCTL,337,0.4630493903759359,0.23784849668444114,-0.2798713574848762,-0.005674642414572495,0.10889033966661782,68.75,16,62.970269926152284,5
2016,Sam Querrey,121.72727272727273,7.791119040742181,2.477643478253317,WW_DCTL,220,1.2960080230540747,0.052641947310434554,-1.6640796377861165,0.2530909348674055,0.36765591694859584,95.83333333333334,3,94.78202189966896,5
2016,Taylor Fritz,112.20481927710843,8.527944075207563,2.8336757207985674,WW_DCTL,83,-0.8984258115098792,0.5936596235978359,0.5032464204239313,-0.30319463459580764,-0.18862965251461733,16.666666666666664,41,76.41046984831668,6
2017,Alexander Zverev,123.85507246376811,6.190210002363756,2.696568790536267,WW_DCTL,207,1.7863559947589038,-1.1228339762504762,-0.33138423154828073,0.18870464043882682,0.3029760349903073,90.9090909090909,6,90.07487643427869,7
2017,Daniil Medvedev,118.28571428571429,7.501000623381315,2.632864223987574,WW_DCTL,70,0.5029065049096384,-0.16037903415314914,-0.7191821627719143,0.024242713954033407,0.13851410850551388,70.9090909090909,17,74.32910442621875,6
2017,Grigor Dimitrov,118.9047619047619,6.871953455331129,2.522659125438247,WW_DCTL,147,0.6455650169783831,-0.6222602423298128,-1.3900494418869673,0.0897404419676239,0.20401183651910437,80,12,71.44253298803798,6
2017,John Isner,116.2909090909091,10.937978155877287,2.4052781896222046,WW_DCTL,110,0.043206907977617795,2.363239886357812,-2.104599222863211,0.1457254401645416,0.2599968347160221,83.63636363636363,10,88.48637636872931,5
