"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"adam walton",0.176470588235294,-1.18221738606167,0.355775095988072,1.70177326038551,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.412738279157146,-0.404688395765354,-0.404768968255532,0.312934430740803,0.320362985705312,0.286858588457108,0.480855903172489
"adrian mannarino",0.293617021276596,-1.22900344185747,-0.264529939439219,0.659482622974342,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.0062982555485248,0.0104079433640556,-0.147118790213553,0.295699416335732,0.289916337147628,0.333739042282104,0.0146160820454379
"alejandro davidovich fokina",0.344036697247706,0.385832442286205,-0.197391675233521,0.484556123394205,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,0.0555267973064127,0.113230435510694,0.195463279374153,0.325677847329711,0.303776094268483,0.290730237960815,-0.0285202374350112
"alejandro tabilo",0.314285714285714,-1.41516001129508,0.395324927979139,0.43579120708509,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.0662522054507187,-0.0293154909412014,0.141111413504529,0.292380717858603,0.324709231042508,0.27580201625824,0.0844502806149165
"aleksandar kovacevic",0.169811320754717,-0.085676763218682,-0.200061397134106,-0.34145857697691,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.436221046706321,-0.382361248575889,-0.438974609868919,0.314039281235831,0.305765001000876,0.289527833461761,-0.144547121605908
"aleksandar vukic",0.195121951219512,-0.0388099878123208,-0.621840558314751,-2.83346627131885,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.362305854854985,-0.321895432405086,-0.459042565924732,0.314911298640157,0.309576197963647,0.320311367511749,-0.478482451789657
"alex de minaur",0.261904761904762,-0.3690665487021,-0.87785435440885,-0.00774498243310694,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.108938131126518,-0.206880288017022,-0.462908487305744,0.297923025098696,0.335463828444731,0.388148486614227,-0.200865656508954
"alex michelsen",0.160714285714286,0.127240885857289,-0.691954488157474,0.30841317401307,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.568022892267939,-0.431139642971694,-0.454132311069363,0.348519949555954,0.314011779590376,0.284564584493637,-0.144210081141225
"alex molcan",0.292682926829268,-0.278875107595992,-1.86111889134888,0.921033914159827,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.0553912346724563,-0.0624253477583907,-0.4148766986296,0.274368898045789,0.314879098120186,0.40582749247551,-0.0232067185264312
"alexander bublik",0.391812865497076,0.362387275862428,4.85594849329661,0.402619876429823,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.0108887549666028,0.284787750128231,0.318740582304852,0.388212711554781,0.29055275385354,0.304886400699615,0.837363384832645
"alexander shevchenko",0.295454545454545,-0.343957696887992,-0.921717035576068,-0.401830521786918,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.0166959676754229,-0.0207943797564506,-0.00427427673517363,0.300974740741468,0.302848266619688,0.296620219945908,-0.100296247077475
"alexander zverev",0.23314606741573,1.33238516666863,1.81676781484838,0.147833894865846,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.391009107813916,-0.304515876589184,-0.437534595479364,0.362425584246351,0.34142077953648,0.352469861507416,0.288987535445106
"alexandre muller",0.182795698924731,-0.891075405380946,0.910503073334554,0.772969543379969,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.546020948842404,-0.526297746534428,-0.782887582001459,0.363326850335499,0.36992793529312,0.396303653717041,0.200188797195578
"alexei popyrin",0.326315789473684,0.743219545248813,0.540440699152441,1.24524553787841,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.051736818867833,0.0300591954997946,0.0528458563091423,0.343421557119306,0.3156278385669,0.311903744935989,0.232019266988521
"andreas seppi",0.330097087378641,-0.809900864930031,-0.303668571854741,-0.88168910012281,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.0933604273846424,0.0514080826623377,0.0985755213892295,0.29922928736532,0.311818252746798,0.303213715553284,-0.262075190116179
"andrey rublev",0.288164665523156,-1.26437154271871,0.282835483388537,-0.128155339819088,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.0781317537510124,-0.0235582046654704,-0.0021430998665127,0.313997402337223,0.296541101776024,0.288749128580093,0.144244357109849
"andy murray",0.231638418079096,-0.592789384485949,-0.593748479160575,-0.323760393214996,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.212355252394853,-0.205522472121549,-0.238262438255917,0.301849530499312,0.304714694930586,0.29661700129509,-0.210584279343662
"arthur cazaux",0.147058823529412,-0.632776628717655,-0.0163218473459959,-0.600243150796506,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.493765341731839,-0.468712295847102,-0.502446414149107,0.310312680104992,0.313715779050867,0.284085273742676,-0.162990241516981
"arthur fils",0.271604938271605,0.668653270829578,-0.341875570091952,0.701107427961192,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.144738117483134,-0.109560830877251,-0.291650988623803,0.319459767024336,0.310560764009874,0.351143568754196,0.020942644817373
"arthur rinderknech",0.304812834224599,0.657845208914481,0.386812601738983,0.588401786335816,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.0331649295716281,-0.0117908545942088,0.0683462234003953,0.315778169775765,0.309005231025531,0.286173552274704,0.123058102242045
"aslan karatsev",0.402097902097902,0.985757931001816,-0.374723428401765,1.21241917501338,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.288581667792795,0.252024673503546,0.412266148819499,0.306684015738553,0.312487142630882,0.289665281772614,0.285434787143535
