"Variable","Overall"
"cluster4.avg_speed",100
"cluster4.modal_locationWBC_DNCTL",90.1905938046016
"cluster4.modal_locationWB_DNCTL",83.9263150547236
"cluster4",79.8543945470574
"cluster4.modal_locationWBW_DNCTL",76.7581647950875
"cluster4.sd_speed",71.125276658119
"cluster4.modal_locationWW_DCTL",70.9948877386103
"cluster4.modal_locationWC_DNCTL",65.3460999903341
"avg_speed",64.1741348614091
"modal_locationWC_DNCTL",61.0183348221003
"cluster3",60.4085152831307
"cluster3.modal_locationWBW_DNCTL",59.9378110438453
"cluster3.modal_locationWC_DNCTL",59.705085387174
"cluster3.sd_speed",59.5505383437331
"modal_locationWBW_DNCTL",58.8665388958445
"cluster3.modal_locationWB_DNCTL",56.4011994882582
"cluster3.modal_locationWBC_DNCTL",55.2853117320339
"cluster2.modal_locationWC_DNCTL",53.1165047158096
"cluster2.modal_locationWB_DNCTL",50.0948153238476
"cluster3.modal_locationWW_DCTL",49.5094109411039
"cluster4.location_entropy",47.4185213401065
"cluster2.modal_locationWW_DCTL",42.726503827324
"cluster3.location_entropy",40.7209091491817
"cluster2.modal_locationWBW_DNCTL",38.9893043673397
"sd_speed",38.7835631685807
"cluster2",38.3637316693236
"location_entropy",31.8722257630423
"cluster2.modal_locationWBC_DNCTL",30.1317013453454
"cluster3.avg_speed",25.9223411708093
"cluster2.sd_speed",23.7384754494418
"modal_locationWBC_DNCTL",22.9513855288524
"cluster2.avg_speed",17.5619931791054
"modal_locationWB_DNCTL",15.2067593655644
"modal_locationWW_DCTL",10.6028531634124
"cluster1",8.63410646842237
"cluster2.location_entropy",0
