dataset,serve_type,baseline,n,cor_eff,cor_win,coef_eff,pval_eff,coef_win,pval_win,split
Wimbledon men,first,Ace rate,62,0.6621605681947681,0.3604134802747904,0.2116221839433004,2.0984848614193638e-17,0.08337149802562649,0.0010603514555375575,random
Wimbledon men,first,Unreturned rate,62,0.6345872201695774,0.30669191958967196,0.2290038259447891,2.3376955861691553e-19,0.09280760976455596,3.287846423618183e-4,random
Wimbledon men,first,Serve win %,62,0.39431277331490194,0.2394250373122433,0.13967963078238968,7.556257579527843e-8,0.07394468697864079,0.0047989263264692356,random
Wimbledon men,first,Avg speed,62,0.6140093671732719,0.35693729950220016,0.2178596736943811,5.079432957410591e-21,0.12044270602028054,3.036574220170283e-7,random
Wimbledon men,first,RE-only GLMM,62,0.639189326506228,0.30800134621708186,0.24004022189905538,3.6712781492382753e-20,0.10420357915722933,6.934555256991769e-5,random
Wimbledon men,first,FE-only GLM,62,0.648616180308505,0.3118043113045213,0.21961084348578555,5.431530975210049e-21,0.09859392871999025,3.3193879845532076e-5,random
Wimbledon men,first,wElo,62,0.14784233192606022,0.13571610151619246,0.014633923377874216,0.5629823915470715,0.02954940174183746,0.25572873420482006,random
Wimbledon men,first,SQS,62,0.6666045087948579,0.3251071026166177,0.2402570200063972,4.583171407807467e-22,0.10883240522152296,1.5330301324718253e-5,random
Wimbledon men,second,Ace rate,60,0.15793156067729322,-0.22673342412788935,0.04380883370576609,0.2544577630126856,-0.07265847276710345,0.04237148657774286,random
Wimbledon men,second,Unreturned rate,60,0.11302300349699901,-0.06914907320294107,0.05766325720569094,0.1570065247234473,-0.036541357364331464,0.32808688479899,random
Wimbledon men,second,Serve win %,60,0.14406969789367025,0.06630342895540937,0.01875309876107706,0.6399725102050889,0.012020785529805397,0.741976526073947,random
Wimbledon men,second,Avg speed,60,0.1712412325768448,-0.226080544867526,0.10308862431240387,0.005438185034639539,-0.052405975341616305,0.12331431220161923,random
