predictor,outcome,n,rmse,cor,p_value,serve_type
SQS_first,serve_efficiency,86,1.1989946734275359,0.2727494852114478,0.011062108620459204,first
welo,serve_efficiency,86,1.5689055962276686,-0.24521158946592178,0.022870893840722592,first
SQS_first,win_pct,86,1.3020942104314415,0.1423021022108188,0.19121019897053634,first
welo,win_pct,86,1.39802778495764,0.011262205140196485,0.918029365965577,first
