"Variable","Overall"
"cluster4.modal_locationWBC_DNCTL",100
"cluster4",98.7210646073333
"cluster4.modal_locationWW_DCTL",97.4091672189452
"cluster4.avg_speed",96.3664598269969
"avg_speed",95.8054683455268
"cluster3.sd_speed",93.7693069403535
"cluster4.modal_locationWB_DNCTL",90.3363060757071
"cluster4.modal_locationWC_DNCTL",72.2432863956267
"cluster4.modal_locationWBW_DNCTL",65.9597156649855
"cluster4.location_entropy",63.9745254919267
"cluster4.sd_speed",59.914434638628
"sd_speed",59.2752357366373
"cluster3.modal_locationWW_DCTL",56.7533543171113
"location_entropy",55.8637224545952
"cluster1",48.489868083083
"cluster2",41.5980237259634
"cluster3.location_entropy",41.4268765261361
"cluster3.modal_locationWC_DNCTL",40.5945159947205
"cluster3",40.2234764347177
"cluster3.modal_locationWBW_DNCTL",39.0137931965251
"cluster3.avg_speed",37.6725819887021
"cluster2.avg_speed",35.3031160168555
"cluster2.modal_locationWBC_DNCTL",32.350410127791
"cluster2.modal_locationWW_DCTL",30.5618064173099
"cluster3.modal_locationWB_DNCTL",25.3425657762745
"cluster3.modal_locationWBC_DNCTL",25.0858242717804
"modal_locationWW_DCTL",24.9150117695142
"cluster2.modal_locationWBW_DNCTL",22.3779366992638
"modal_locationWC_DNCTL",20.3672449150031
"modal_locationWBW_DNCTL",18.9052228017498
"cluster2.location_entropy",16.7431711094895
"modal_locationWB_DNCTL",15.6246769842661
"cluster2.modal_locationWB_DNCTL",15.2048760099236
"cluster2.sd_speed",11.642076198881
"modal_locationWBC_DNCTL",9.28085937698899
"cluster2.modal_locationWC_DNCTL",0
