"Feature","Gain","Cover","Frequency"
"location_entropy",0.182958773285758,0.190108493793373,0.194656488549618
"sd_speed",0.180520233438308,0.191183657511485,0.248091603053435
"avg_speed",0.177737506826175,0.143452904571075,0.209923664122137
"cluster4.avg_speed",0.157830418843952,0.0283778060144007,0.017175572519084
"cluster3.sd_speed",0.128341945009261,0.137295148730981,0.083969465648855
"cluster4.modal_locationWBC_DNCTL",0.0507464771559246,0.0101651842439644,0.00572519083969466
"cluster2.avg_speed",0.0259180976332212,0.0389991203205943,0.0229007633587786
"cluster4.location_entropy",0.0199531897376321,0.0655524060860783,0.0381679389312977
"modal_locationWW_DCTL",0.0166100915770072,0.0505001140325156,0.0286259541984733
"modal_locationWBW_DNCTL",0.011264838530723,0.013130029648454,0.0248091603053435
"cluster3.modal_locationWB_DNCTL",0.00942896028525203,0.00752614602678135,0.00763358778625954
"cluster3.avg_speed",0.00657203567154476,0.0284103867331313,0.0209923664122137
"cluster2.sd_speed",0.00621130201124818,0.0248590883914899,0.0152671755725191
"modal_locationWBC_DNCTL",0.00573866337150585,0.0074935653080507,0.0133587786259542
"modal_locationWC_DNCTL",0.00492739566582959,0.000781937249535725,0.0114503816793893
"cluster4.modal_locationWBW_DNCTL",0.00277322636133146,0.0129997067735314,0.00763358778625954
"cluster3.location_entropy",0.00270117443473004,0.0192552047698172,0.0114503816793893
"cluster2.modal_locationWC_DNCTL",0.00220899573032821,0.0167790701462874,0.00954198473282443
"cluster2.location_entropy",0.00180487794561944,0.000912260124458346,0.00381679389312977
"cluster1",0.00167845491178714,0.000390968624767862,0.00763358778625954
"cluster2",0.00161408583617113,0.000260645749845242,0.00381679389312977
"cluster2.modal_locationWB_DNCTL",0.00109006870473212,0.00136839018668752,0.00190839694656489
"cluster4.sd_speed",0.000927589319815149,0.00987195777538852,0.00572519083969466
"cluster4",0.000434408261351454,0.000195484312383931,0.00381679389312977
"modal_locationWB_DNCTL",7.18945079172277e-06,0.000130322874922621,0.00190839694656489
