"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",0.322815533980583,0.36118779595936,0.405506172210322,0.424215352051874,-0.339840799020317,-0.370686556892804,-0.713229032060469,1.15551991087078,-0.0932504808240314,-0.206859251709212,-0.197606281010579,-0.274205411164185,0.362564430588449,0.36001297002566,0.365258157253265,0.130557486606189
"aliaksandra sasnovich",0.346534653465347,-0.632483301674963,-1.4188874040129,0.45612665724949,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,0.0711549277617793,-0.0183119810670727,-0.0197894982499981,0.332861927477151,0.349981703534391,0.349597752094269,-0.262143098982016
"alison van uytvanck",0.305194805194805,0.498204224541846,1.17523486774765,-0.476245727693153,-0.339840799020317,-0.370686556892804,-0.713229032060469,1.15551991087078,-0.0932504808240314,-0.373945299024206,-0.40120413156307,-0.823055287898861,0.37705000579664,0.380717531236287,0.432590633630753,0.215144004635539
"alize cornet",0.339920948616601,-0.832303097854035,-0.0216338163019011,0.476014485111788,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,0.0692636040191046,0.0722172541433005,0.226361831102451,0.326611648635598,0.3263267618397,0.304883748292923,-0.205409945683017
"amanda anisimova",0.366666666666667,0.509480016458916,-0.765397044737583,0.489487031425656,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,0.0532811623539292,0.0583011773645769,-0.0686448773308745,0.356428461722706,0.355692044274702,0.377291798591614,0.0310438862075791
"anastasia pavlyuchenkova",0.3125,-0.2296629802734,-0.525568574072097,-0.935623044053476,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,-0.0912790820440886,-0.154079258354775,-0.243587277901931,0.330039668951968,0.341503902756602,0.350203424692154,-0.111352339123386
"anastasia potapova",0.246753246753247,-0.427953715762419,0.742615620188645,1.23877488292418,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,-0.585286362257317,-0.486525784682242,-0.469104161764365,0.359218543360159,0.33833693360493,0.319363087415695,-0.0635137988311447
"anastasija sevastova",0.364583333333333,-0.3556143178155,0.0504783545846372,0.141271962891302,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,0.10404106486412,0.163709897611073,0.255658590825796,0.344591394388926,0.333766557595279,0.32501146197319,-0.0973673920071481
"andrea petkovic",0.406779661016949,-0.226003377245543,-1.50540489705974,0.458740408230126,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,0.402477999367639,0.294509701591744,0.348810999808181,0.329441779091831,0.35134111051345,0.352789282798767,-0.180591779551685
"anett kontaveit",0.395833333333333,-0.32391228047497,-1.03357478225188,0.437581050953022,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,0.29682567148374,0.293652153136444,0.292314026809295,0.338797001485081,0.340556207879982,0.350587785243988,-0.168002565306094
"angelique kerber",0.300403225806452,-1.49282471570219,-0.139467040721925,0.402434430201054,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,-0.0624477039453355,-0.158450912129845,0.0378720299563983,0.312402821217399,0.330230049326897,0.294541239738464,-0.35639874407871
"anhelina kalinina",0.29,-0.751564196080495,-0.629300171837088,-0.278115695496966,-0.339840799020317,-0.370686556892804,1.38988221632296,-0.857885994434366,-0.0932504808240314,-0.212536095065177,-0.219709241246684,-0.364482176401187,0.330839726521206,0.331358100602826,0.346416026353836,-0.231413414279762
