"ServerName...1","serve_score_rf","serve_score_rf_weighted","ServerName...4","avg_speed","sd_speed","ace_pct","location_entropy","expected_win_rate...9","overperformance...10","win_rate","expected_win_rate...12","overperformance...13","n_serves"
"adrian mannarino",0.531464791571534,0.137234734382461,"adrian mannarino",109.119047619048,11.8402492153238,0.0142857142857143,2.62300483035327,0.54441775619347,-0.0491796609553746,0.495238095238095,0.54441775619347,-0.0491796609553746,210
"alejandro davidovich fokina",0.571332411987018,0.261024228959164,"alejandro davidovich fokina",113.362694300518,7.94073470800631,0.0414507772020725,2.96248239799051,0.561966954609141,0.0338879676706521,0.595854922279793,0.561966954609141,0.0338879676706521,193
"alejandro tabilo",0.605481361260609,0.439203322032962,"alejandro tabilo",115.192592592593,7.76857071728751,0.111111111111111,2.78844515074464,0.590766311796524,0.0240485030182905,0.614814814814815,0.590766311796524,0.0240485030182905,135
"aleksandar kovacevic",0.575660865404568,0.513927933640464,"aleksandar kovacevic",118.150943396226,6.22153897117195,0.132075471698113,2.57283968194294,0.585422952031692,-0.019385216182635,0.566037735849057,0.585422952031692,-0.019385216182635,53
"aleksandar vukic",0.490391545534234,0.215325750406341,"aleksandar vukic",115.482142857143,5.25353931408868,0.0178571428571429,2.65854185601814,0.521640357519372,-0.057354643233658,0.464285714285714,0.521640357519372,-0.057354643233658,56
"alex de minaur",0.599397102070338,0.471553165699755,"alex de minaur",118.572314049587,7.71335173891134,0.103305785123967,2.96924277353976,0.598943210450839,0.0229576159954421,0.621900826446281,0.598943210450839,0.0229576159954421,484
"alex molcan",0.543344098682396,0.217041979518228,"alex molcan",112.593220338983,7.94836492417497,0.0338983050847458,2.55993703238019,0.535592808323227,0.00678007303270556,0.542372881355932,0.535592808323227,0.00678007303270556,59
"alexander bublik",0.634706700733841,0.771322648492294,"alexander bublik",124.703703703704,7.39134342808922,0.202279202279202,2.76140417129456,0.644638703523445,-0.000764059648801552,0.643874643874644,0.644638703523445,-0.000764059648801552,351
"alexander zverev",0.648590824372229,0.646778234717195,"alexander zverev",125.012389380531,6.96099992744993,0.148672566371681,2.69458886239094,0.610391452122852,0.0745643000895374,0.684955752212389,0.610391452122852,0.0745643000895374,565
"alexandre muller",0.532024289713399,0.217153643150641,"alexandre muller",110.793103448276,9.34457640730767,0.0402298850574713,2.69624265695115,0.551595224365279,-0.0228595921813707,0.528735632183908,0.551595224365279,-0.0228595921813707,174
"alexei popyrin",0.589161514918049,0.562696264689782,"alexei popyrin",117.294736842105,5.94276546451073,0.157894736842105,2.57557906921085,0.597357958875197,0.00264204112480249,0.6,0.597357958875197,0.00264204112480249,95
