predictor,outcome,n,rmse,cor,p_value
SQS_prob,serve_efficiency,166,1.0294215314920818,0.46881836152785555,1.885054376922883e-10
SQS_prob,win_pct,166,1.4040399531445356,0.01223944434553281,0.8756322366279704
welo,serve_efficiency,168,1.4865776302245035,-0.11157303148172232,0.14990861840859535
welo,win_pct,168,1.1940637224062063,0.2828370865509491,2.0339723758240982e-4
