predictor,outcome,n,rmse,cor,p_value,serve_type
SQS_second,serve_efficiency,105,1.0102453191005514,0.4847954879794213,1.600021406795337e-7,second
avg_speed_second,serve_efficiency,105,1.349624955075012,0.08049908878399566,0.414315964055318,second
welo,serve_efficiency,105,1.5980504056605032,-0.2891602663381173,0.002774026674945671,second
SQS_second,win_pct,105,1.3857171244390998,0.03066223730194425,0.7561758925571755,second
avg_speed_second,win_pct,105,1.46232494040743,-0.07947785716561238,0.4202815591750234,second
welo,win_pct,105,1.2758650861716498,0.17825802691472054,0.06886009212936636,second
