predictor,outcome,n,rmse,cor,p_value,serve_type
SQS_first,serve_efficiency,142,1.188769002871078,0.2884028815937314,5.002932894468978e-4,first
avg_speed_first,serve_efficiency,142,1.1608509247939989,0.32143393091311434,9.599418134311567e-5,first
welo,serve_efficiency,142,1.4023809483550624,0.009689822510947903,0.9088813465410239,first
SQS_first,win_pct,142,1.296601596185385,0.15345053443003775,0.06826918281464443,first
avg_speed_first,win_pct,142,1.2886336183250642,0.16382312934960386,0.05140232570148162,first
welo,win_pct,142,1.210486998607854,0.26216458908011214,0.0016229257997858388,first
