"Estimate","Std. Error","z value","Pr(>|z|)","term","model","serve_type","correlation"
0.214276146408196,0.0153511921983259,13.9582739659505,2.80136247279748e-44,"(Intercept)","win_sqs_all","all",NA
-0.0158744865166484,0.0161696527157531,-0.981745668611851,0.326225160585511,"SQS_z","win_sqs_all","all",0.0159791166431103
0.165544646411047,0.0174658158497113,9.4782086239495,2.5868568108687e-21,"(Intercept)","win_welo_all","all",NA
0.0783263165603194,0.0132865642259198,5.89515206704217,3.74336482921612e-09,"welo_z","win_welo_all","all",0.282837086550949
-0.418829071100335,0.015620991070844,-26.8119397291035,2.34518378849925e-158,"(Intercept)","eff_sqs_all","all",NA
0.146599960367697,0.0164586575845427,8.90716388105539,5.23546380564082e-19,"SQS_z","eff_sqs_all","all",0.462581990069902
-0.403830744597267,0.0177522836039578,-22.7481012362395,1.49847726169928e-114,"(Intercept)","eff_welo_all","all",NA
-0.0410444961653508,0.0134939983589274,-3.04168527915941,0.00235257729696451,"welo_z","eff_welo_all","all",-0.111573031481722
0.391978495527117,0.0199737483441344,19.6246837986335,9.51673188474313e-86,"(Intercept)","win_sqs_first","first",NA
0.0322679366530268,0.021372092362563,1.50981645154921,0.131090265974413,"SQS_z","win_sqs_first","first",0.0672488687196517
0.351001371631795,0.0221092400876799,15.8757772876774,9.32485283712464e-57,"(Intercept)","win_welo_first","first",NA
0.0755801636426903,0.0176821904651342,4.2743665606204,1.9168146112195e-05,"welo_z","win_welo_first","first",0.262164589080112
-0.180804230604836,0.0197248897361973,-9.16629867253662,4.89539229294268e-20,"(Intercept)","eff_sqs_first","first",NA
0.15178045093082,0.0212433065036239,7.14486000119272,9.00876577842775e-13,"SQS_z","eff_sqs_first","first",0.459220625039195
-0.177857744266384,0.0218865825200224,-8.12633695112862,4.42457989441412e-16,"(Intercept)","eff_welo_first","first",NA
-0.00170715164451762,0.017330544273279,-0.0985053681868366,0.92153100949626,"welo_z","eff_welo_first","first",0.0096898225109479
-0.0593144741189641,0.0274664765140907,-2.15952250331545,0.0308096534265705,"(Intercept)","win_sqs_second","second",NA
-0.0290602072812683,0.0283279631610491,-1.0258488093922,0.304962855068249,"SQS_z","win_sqs_second","second",0.0306622373019438
-0.0894454011937088,0.0289874883528829,-3.08565544226646,0.00203104031107207,"(Intercept)","win_welo_second","second",NA
0.0804539772938718,0.0245302178500381,3.27979057445456,0.00103884170244548,"welo_z","win_welo_second","second",0.178258026914721
-0.879025680721952,0.0300370690742312,-29.2646955183809,2.91963357675367e-188,"(Intercept)","eff_sqs_second","second",NA
0.20581930765426,0.030917944860318,6.65695306024111,2.79562421376339e-11,"SQS_z","eff_sqs_second","second",0.484795487979422
-0.863813907876061,0.0314833640691848,-27.437153983222,9.88879857406768e-166,"(Intercept)","eff_welo_second","second",NA
-0.127205319922178,0.0274234322897179,-4.63856305725349,3.50839897051005e-06,"welo_z","eff_welo_second","second",-0.289160266338117
