"cluster","n","WBC_DNCTL","WB_DNCTL","WC_DNCTL","WBW_DNCTL","WW_DCTL"
"1",8,0.8,0,0,0,0
"1",1,0,0.1,0.1,0,0
"2",16,0.666666666666667,0,0,0,0
"2",2,0,0,0,0.0833333333333333,0
"2",5,0,0.208333333333333,0,0,0
"2",1,0,0,0.0416666666666667,0,0
"3",10,0.303030303030303,0,0,0,0
"3",13,0,0,0,0.393939393939394,0
"3",5,0,0.151515151515152,0,0,0
"3",4,0,0,0.121212121212121,0,0
"3",1,0,0,0,0,0.0303030303030303
"4",3,0.428571428571429,0,0.428571428571429,0,0
"4",1,0,0,0,0.142857142857143,0
