"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"ajla tomljanovic",0.557377049180328,0.478761099732643,0.237473936078054,0.0713130249268562,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"4",1527.63205061763,0.21637196256788,-0.458028474447845,0.324153679320775,0.462784801538926,0.323351745735421,0.548198897402958,0.552645346666715,0.552598476409912,-0.00303080412138504
"aleksandra krunic",0.528455284552846,-0.559045259960189,0.385280085376229,-0.984866496182073,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1516.43517016113,-0.287589517763577,-0.677642663289957,-0.229825635274331,-0.105800856590792,-0.143046754522769,0.48325617020333,0.516064002196084,0.495627790689468,-0.245405945098384
"aliaksandra sasnovich",0.48,-0.976172664337475,-0.0277669290577504,-0.000567560737002382,-0.284470366018268,-0.442011204872034,-0.832403644091255,-0.686655502937942,5.93774783188613,"3",1510.46484304137,-0.556308551161081,-0.794743899890848,-0.21943768852983,-0.308385553641894,-0.241509691861288,0.542171223069958,0.524992566979027,0.531906008720398,-0.482181343281354
"alison van uytvanck",0.496774193548387,0.251316760012819,1.39573977557456,-0.252342224279821,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1500,-1.02732168835158,-1,-0.0603784154653608,0.0107777762225102,-0.0372581418543201,0.550843628923987,0.545216093293913,0.55216920375824,0.0754869893951595
"alizé cornet",0.564327485380117,-0.574993652998169,-0.269314118023814,0.615309912578935,3.4912272193151,-0.442011204872034,-0.832403644091255,-0.686655502937942,-0.167260502306652,"3",1519.73600296132,-0.139022013558008,-0.61290054866853,-0.143719830011128,-0.053862711775587,0.0689207667804018,0.456402412576367,0.500275703781019,0.495595335960388,0.158731676855387
"alycia parks",0.464285714285714,2.06737340248524,0.816301929554208,-1.88399144730433,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"2",1500,-1.02732168835158,-1,-0.325790446118249,-0.399448728627542,-0.136180256768505,0.541669709969959,0.525513574081413,0.570146501064301,0.184598655783791
"amanda anisimova",0.520833333333333,0.313193300953015,-0.856572294159762,0.534472052673623,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"3",1506.61319942198,-0.729667553043636,-0.870289547847663,-0.156885423366322,-0.134319793366825,-0.129536602173762,0.505266301744688,0.517781833090549,0.50692754983902,0.0111762183502949
"ana bogdan",0.512987012987013,-0.666824945198223,1.30304262190023,-2.16990490073632,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"2",1500,-1.02732168835158,-1,-0.510855586287873,-0.406915865048816,-0.103290827818914,0.451249034491149,0.496778369567325,0.520939707756042,-0.429657015438268
"anastasia pavlyuchenkova",0.547112462006079,0.451453320642904,-0.627083282585728,0.251255117563054,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"4",1524.96242274356,0.0962144222086507,-0.510390215948207,0.291992325128168,0.392856796313633,0.21421148976515,0.55453855273221,0.55200776802752,0.54325544834137,0.0127914467358512
"anastasia potapova",0.53156146179402,0.162456036815849,-0.884553951695856,0.826394565190562,-0.284470366018268,-0.442011204872034,-0.832403644091255,-0.686655502937942,5.93774783188613,"3",1509.74368508212,-0.588767219814898,-0.808888600360048,-0.144508910434857,0.00484392813076059,0.0833854675465191,0.49484512478075,0.524634397985424,0.535759508609772,-0.057631637377835
"andrea petkovic",0.527272727272727,0.425202537122474,-2.28708625493177,1.00073173820184,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1509.7909705728,-0.586638942571023,-0.80796114876149,0.109225761647924,-0.116775663683146,-0.103776303139286,0.545239339854187,0.515717311661658,0.504551231861115,0.286992899424785
