"ServerName","avg_speed","sd_speed","ace_pct","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"ajla tomljanovic",101.597014925373,7.10184805086705,0.0373134328358209,2.93353042087278,0.548507462686567,268,0.000976793614297367,-0.236981718925039,-0.0167863641131544,0.54753066907227,0.785489181611606,0.565293826799722,-0.0316762988620128
"aliaksandra sasnovich",95.6129032258064,5.83194942159609,0.032258064516129,2.94968904187208,0.467741935483871,62,-0.0740400237919231,-0.258917398452939,-0.0409486814285531,0.541781959275794,0.72665933393681,0.508690616912424,-0.60459294735567
"alison van uytvanck",104.904255319149,4.75206610172738,0.0531914893617021,2.71789552209591,0.521276595744681,94,-0.0353833638846994,-0.236148390345563,-0.017473255714932,0.55665995962938,0.757424986090244,0.538749851459613,0.197427753038822
"alize cornet",97.3112582781457,6.05770631010735,0.0132450331125828,2.93798142245431,0.543046357615894,151,0.0155953002631958,-0.109188419250189,0.00182240567625014,0.527451057352698,0.652234776866083,0.541223951939644,-0.818505032517052
"amanda anisimova",99.9567567567568,5.96896596083427,0.0324324324324324,2.85027738517195,0.583783783783784,185,0.0415247741641488,-0.135428242626132,0.0187923080941718,0.542259009619635,0.719212026409916,0.564991475689612,-0.307391987574274
"anastasia pavlyuchenkova",98.1134020618557,6.10477321558678,0.0309278350515464,2.78923612536984,0.536082474226804,97,-0.00535646865794492,-0.157802131810175,0.00543176464917527,0.541438942884749,0.693884606036979,0.530650709577629,-0.354421160038081
"anastasia potapova",99.3953488372093,9.01622752618781,0,2.90141766097446,0.534883720930233,43,0.0132063496224907,-0.128241059735855,0.0168369069771179,0.521677371307742,0.663124780666087,0.518046813953115,-0.475706568675843
"anastasija sevastova",97.8,7.46073052723391,0.0461538461538462,3.02472918172222,0.630769230769231,65,0.0760138349676863,-0.19732347160238,0.0400384207831198,0.554755395801544,0.82809270237161,0.590730809986111,-0.0624060205754292
"andrea petkovic",96.975,4.88581148287097,0.075,2.93942247123367,0.6,40,0.0266454909253063,-0.251934905147981,0.0431349608684176,0.573354509074694,0.851934905147981,0.556865039131582,0.0754781480095122
"anett kontaveit",96.804347826087,6.44032476560606,0.0652173913043478,2.87333203223115,0.554347826086957,92,-0.0138996435572435,-0.282951909310386,0.00602475858111517,0.5682474696442,0.837299735397342,0.548323067505841,0.180990647156018
"angelique kerber",93.1036585365854,7.14987555969555,0.024390243902439,2.93571314422866,0.600609756097561,328,0.0628813999357202,-0.111784853571976,0.0205657414383421,0.537728356161841,0.712394609669537,0.580044014659219,-0.647571490485193
"anhelina kalinina",95.4615384615385,5.70382799934867,0,2.99487407076071,0.615384615384615,65,0.0987655759206131,0.0257718954780861,0.0509842597420168,0.516619039464002,0.589612719906529,0.564400355642599,-1.2334347933576
"anna blinkova",102.432432432432,9.78814629068282,0.108108108108108,2.74903275915172,0.459459459459459,37,-0.147028882824078,-0.484140796376512,-0.050034287707963,0.606488342283538,0.943600255835972,0.509493747167422,1.80218992673527
"anna kalinskaya",98.1147540983606,6.75055148526335,0,2.83577400592527,0.524590163934426,61,0.00614132857432437,-0.0548831660171021,-0.00363068925776777,0.518448835360102,0.579473329951528,0.528220853192194,-0.835010856750596
"arantxa rus",99.275,7.85766814760898,0.075,2.93837637173451,0.55,40,-0.0277488498290961,-0.342580623926783,-0.0112314064202916,0.577748849829096,0.892580623926783,0.561231406420292,0.638499226071982
"aryna sabalenka",108.494680851064,6.10267468392936,0.11436170212766,2.8184419581803,0.638297872340426,376,0.0326706389330993,-0.299772287806832,0.0134556519886784,0.605627233407326,0.938070160147258,0.624842220351747,1.57818836971168
"ashleigh barty",102.446327683616,6.29291634272686,0.135593220338983,2.70975032536869,0.694915254237288,177,0.0723446246942085,-0.254689326077467,0.0540410803758327,0.62257062954308,0.949604580314755,0.640874173861456,1.78052939019033
"ashlyn krueger",104.722222222222,3.5665999103677,0.0277777777777778,2.82381056362073,0.388888888888889,36,-0.146200306834863,-0.261468303096081,-0.0665874070499619,0.535089195723752,0.65035719198497,0.455476295938851,-0.518020684238893
"barbora krejcikova",100.181628392484,5.22169563385126,0.0772442588726514,2.86396660072619,0.617954070981211,479,0.0422621663731133,-0.238852680417057,0.0170117668231889,0.575691904608097,0.856806751398268,0.600942304158022,0.369712835106022
"beatriz haddad maia",100.739361702128,9.74329022472549,0.074468085106383,3.08023311044104,0.627659574468085,188,0.0478058989783313,-0.297879574855072,0.0457035392764096,0.579853675489754,0.925539149323157,0.581956035191675,0.883566483818187
"belinda bencic",98.6623376623377,7.63221500063535,0.0432900432900433,2.83008997133291,0.567099567099567,231,0.0139361498822232,-0.21886108961225,-0.0043499035936333,0.553163417217344,0.785960656711817,0.5714494706932,0.0939588997375172
"bernarda pera",97.7540983606557,6.38919853530138,0.0655737704918033,2.80217684753575,0.475409836065574,61,-0.0931615237000469,-0.351666448995023,-0.0493643801255593,0.568571359765621,0.827076285060597,0.524774216191133,0.274875268581544
"bianca andreescu",99.96875,7.01978995272595,0.04296875,2.96867097578002,0.57421875,256,0.0224948860982952,-0.231443661325968,-0.000111986210347692,0.551723863901705,0.805662411325968,0.574330736210348,-0.045252623255978
