"match_id","year","ElapsedTime","SetNo","GameNo","PointNumber","player1","player2","ServeNumber","ServeIndicator","PointWinner","ServeWidth","ServeDepth","RallyCount","P1DistanceRun","P2DistanceRun","P1Score","P2Score","state","GameWinner","serving_player_won","speed_ratio","importance","P1BreakPoint","P2BreakPoint","P1GamesWon","P2GamesWon","P1Ace","P2Ace","P1DoubleFault","P2DoubleFault","Speed_MPH","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"2016-usopen-2101",2016,"0:10:27",1,4,20,"Serena Williams","Ekaterina Makarova",2,2,2,"B","NCTL",1,6.378,4.373,"0","30","30-0",0,1,0.818002628120894,10.63,0,0,2,1,0,0,0,0,83,"williams s.","makarova e.",1500,1500,627
"2016-usopen-2101",2016,"0:10:55",1,4,21,"Serena Williams","Ekaterina Makarova",1,2,2,"BW","NCTL",1,5.105,10.361,"0","40","40-0",0,1,1.02496714848883,3.28,0,0,2,1,0,0,0,0,104,"williams s.","makarova e.",1500,1500,655
"2016-usopen-2101",2016,"0:11:14",1,4,22,"Serena Williams","Ekaterina Makarova",1,1,2,"B","NCTL",1,14.659,14.619,"0","0","0-0",2,0,1.01745635910224,26.12,0,0,2,2,0,0,0,0,108,"williams s.","makarova e.",1500,1500,674
"2016-usopen-2101",2016,"0:11:47",1,5,23,"Serena Williams","Ekaterina Makarova",2,1,2,"BC","NCTL",4,33.55,19.157,"0","15","0-15",0,0,0.84788029925187,36.5,0,0,2,2,0,0,0,0,90,"williams s.","makarova e.",1500,1500,707
"2016-usopen-2101",2016,"0:12:17",1,5,24,"Serena Williams","Ekaterina Makarova",1,1,1,"C","NCTL",1,2.657,8.094,"15","15","15-15",0,1,0.970351898032696,32.48,0,0,2,2,0,0,0,0,103,"williams s.","makarova e.",1500,1500,737
"2016-usopen-2101",2016,"0:12:33",1,5,25,"Serena Williams","Ekaterina Makarova",1,1,1,"BW","NCTL",1,8.661,9.816,"30","15","30-15",0,1,0.932668329177057,23.07,0,0,2,2,0,0,0,0,99,"williams s.","makarova e.",1500,1500,753
"2016-usopen-2101",2016,"0:12:49",1,5,26,"Serena Williams","Ekaterina Makarova",1,1,1,"W","CTL",1,2.182,7.011,"40","15","40-15",0,1,1.02687725131615,9.87,0,0,2,2,1,0,0,0,109,"williams s.","makarova e.",1500,1500,769
"2016-usopen-2101",2016,"0:13:17",1,5,27,"Serena Williams","Ekaterina Makarova",1,2,1,"BW","NCTL",3,21.073,32.927,"0","0","0-0",1,0,0.985545335085414,26.12,0,0,3,2,0,0,0,0,100,"williams s.","makarova e.",1500,1500,797
"2016-usopen-2101",2016,"0:15:18",1,6,28,"Serena Williams","Ekaterina Makarova",1,2,2,"C","NCTL",5,22.221,19.308,"0","15","15-0",0,1,1.00525624178712,18.7,0,0,3,2,0,0,0,0,102,"williams s.","makarova e.",1500,1500,918
"2016-usopen-2101",2016,"0:15:40",1,6,29,"Serena Williams","Ekaterina Makarova",2,2,1,"B","NCTL",4,19.688,25.341,"15","15","15-15",0,0,0.827858081471748,32.48,0,0,3,2,0,0,0,0,84,"williams s.","makarova e.",1500,1500,940
"2016-usopen-2101",2016,"0:16:13",1,6,30,"Serena Williams","Ekaterina Makarova",0,2,1,"BC","CTL",0,6.063,6.28,"30","15","15-30",0,0,0,46.26,0,0,3,2,0,0,0,1,0,"williams s.","makarova e.",1500,1500,973
"2016-usopen-2101",2016,"0:16:47",1,6,31,"Serena Williams","Ekaterina Makarova",2,2,2,"B","NCTL",1,9.587,11.686,"30","30","30-30",0,1,0.886990801576872,45.31,0,0,3,2,0,0,0,0,90,"williams s.","makarova e.",1500,1500,1007
"2016-usopen-2101",2016,"0:17:19",1,6,32,"Serena Williams","Ekaterina Makarova",2,2,1,"C","NCTL",4,36.732,29.941,"40","30","30-40",0,0,0.877135348226018,72.81,0,0,3,2,0,0,0,0,89,"williams s.","makarova e.",1500,1500,1039
"2016-usopen-2101",2016,"0:18:00",1,6,33,"Serena Williams","Ekaterina Makarova",2,2,2,"B","NCTL",5,32.08,46.772,"40","40","40-40",0,1,0.837713534822602,45.83,1,0,3,2,0,0,0,0,85,"williams s.","makarova e.",1500,1500,1080
"2016-usopen-2101",2016,"0:18:55",1,6,34,"Serena Williams","Ekaterina Makarova",2,2,1,"C","CTL",4,28.878,26.64,"AD","40","40-AD",0,0,0.906701708278581,72.81,0,0,3,2,0,0,0,0,92,"williams s.","makarova e.",1500,1500,1135
"2016-usopen-2101",2016,"0:19:36",1,6,35,"Serena Williams","Ekaterina Makarova",1,1,1,"C","NCTL",4,43.068,32.657,"0","0","0-0",1,1,1.01745635910224,26.12,1,0,4,2,0,0,0,0,108,"williams s.","makarova e.",1500,1500,1176
"2016-usopen-2101",2016,"0:20:12",1,7,36,"Serena Williams","Ekaterina Makarova",1,1,1,"W","CTL",1,2.457,2.575,"15","0","15-0",0,1,0.960931005818786,18.7,0,0,4,2,1,0,0,0,102,"williams s.","makarova e.",1500,1500,1212
"2016-usopen-2101",2016,"0:20:29",1,7,37,"Serena Williams","Ekaterina Makarova",1,1,1,"W","NCTL",1,4.032,7.844,"30","0","30-0",0,1,1.03629814353006,10.63,0,0,4,2,0,0,0,0,110,"williams s.","makarova e.",1500,1500,1229
"2016-usopen-2101",2016,"0:20:48",1,7,38,"Serena Williams","Ekaterina Makarova",1,1,1,"W","CTL",1,1.503,1.04,"40","0","40-0",0,1,0.951510113604877,3.28,0,0,4,2,1,0,0,0,101,"williams s.","makarova e.",1500,1500,1248
