"match_id","year","SetNo","GameNo","PointNumber","player1","player2","ServeNumber","ServeIndicator","PointWinner","ServeWidth","ServeDepth","RallyCount","P1DistanceRun","P2DistanceRun","P1Score","P2Score","state","GameWinner","serving_player_won","speed_ratio","importance","P1BreakPoint","P2BreakPoint","P1GamesWon","P2GamesWon","P1Ace","P2Ace","P1DoubleFault","P2DoubleFault","Speed_MPH","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"2019-usopen-2101",2019,1,1,1,"Naomi Osaka","Anna Blinkova",2,2,2,"B","NCTL",9,34.646,27.745,"0","15","15-0",0,1,0.821298068557508,18.7,0,0,0,0,0,0,0,0,80,"osaka n.","blinkova a.",1500,1500,0
"2019-usopen-2101",2019,1,1,2,"Naomi Osaka","Anna Blinkova",2,2,2,"B","NCTL",1,2.394,1.968,"0","30","30-0",0,1,0.769966939272664,10.63,0,0,0,0,0,0,0,0,75,"osaka n.","blinkova a.",1500,1500,59
"2019-usopen-2101",2019,1,1,3,"Naomi Osaka","Anna Blinkova",1,2,1,"BC","NCTL",4,13.443,10.232,"15","30","30-15",0,0,1.12928484426657,23.07,0,0,0,0,0,0,0,0,110,"osaka n.","blinkova a.",1500,1500,97
"2019-usopen-2101",2019,1,1,4,"Naomi Osaka","Anna Blinkova",0,2,1,"BC","CTL",0,1.009,1.072,"30","30","30-30",0,0,0,45.31,0,0,0,0,0,0,0,1,0,"osaka n.","blinkova a.",1500,1500,127
"2019-usopen-2101",2019,1,1,5,"Naomi Osaka","Anna Blinkova",1,2,2,"W","NCTL",7,21.247,19.242,"30","40","40-30",0,1,0.965025230555072,27.19,0,0,0,0,0,0,0,0,94,"osaka n.","blinkova a.",1500,1500,166
"2019-usopen-2101",2019,1,1,6,"Naomi Osaka","Anna Blinkova",1,2,1,"B","NCTL",10,27.928,30.933,"40","40","40-40",0,0,0.841830520271446,45.83,0,0,0,0,0,0,0,0,82,"osaka n.","blinkova a.",1500,1500,199
"2019-usopen-2101",2019,1,1,7,"Naomi Osaka","Anna Blinkova",1,2,2,"B","NCTL",3,11.863,11.72,"40","AD","AD-40",0,1,0.89316164955629,27.19,0,0,0,0,0,0,0,0,87,"osaka n.","blinkova a.",1500,1500,237
"2019-usopen-2101",2019,1,1,8,"Naomi Osaka","Anna Blinkova",1,1,2,"C","CTL",1,1.646,1.377,"0","0","0-0",2,0,1.00340136054422,26.12,0,0,0,1,0,0,0,0,100,"osaka n.","blinkova a.",1500,1500,265
"2019-usopen-2101",2019,1,2,9,"Naomi Osaka","Anna Blinkova",1,1,1,"W","CTL",1,1.468,2.47,"15","0","15-0",0,1,0.953231292517007,18.7,0,0,0,1,1,0,0,0,95,"osaka n.","blinkova a.",1500,1500,329
"2019-usopen-2101",2019,1,2,10,"Naomi Osaka","Anna Blinkova",1,1,2,"BC","NCTL",4,11.893,12.004,"15","15","15-15",0,0,1.03350340136054,32.48,0,0,0,1,0,0,0,0,103,"osaka n.","blinkova a.",1500,1500,358
"2019-usopen-2101",2019,1,2,11,"Naomi Osaka","Anna Blinkova",2,1,2,"C","NCTL",2,9.341,9.425,"15","30","15-30",0,0,0.822789115646259,46.26,0,0,0,1,0,0,0,0,82,"osaka n.","blinkova a.",1500,1500,381
"2019-usopen-2101",2019,1,2,12,"Naomi Osaka","Anna Blinkova",2,1,2,"B","NCTL",4,12.441,11.647,"15","40","15-40",0,0,0.752551020408163,44.82,0,0,0,1,0,0,0,0,75,"osaka n.","blinkova a.",1500,1500,422
"2019-usopen-2101",2019,1,2,13,"Naomi Osaka","Anna Blinkova",1,2,2,"C","NCTL",2,3.763,4.862,"0","0","0-0",2,1,1.18061597355142,26.12,0,1,0,2,0,0,0,0,115,"osaka n.","blinkova a.",1500,1500,464
"2019-usopen-2101",2019,1,3,14,"Naomi Osaka","Anna Blinkova",2,2,2,"BW","NCTL",1,2.836,2.859,"0","15","15-0",0,1,0.769966939272664,18.7,0,0,0,2,0,0,0,0,75,"osaka n.","blinkova a.",1500,1500,500
"2019-usopen-2101",2019,1,3,15,"Naomi Osaka","Anna Blinkova",1,2,2,"C","NCTL",1,3.298,1.622,"0","30","30-0",0,1,1.07795371498173,10.63,0,0,0,2,0,0,0,0,105,"osaka n.","blinkova a.",1500,1500,544
"2019-usopen-2101",2019,1,3,16,"Naomi Osaka","Anna Blinkova",1,2,2,"BW","NCTL",1,2.232,1.597,"0","40","40-0",0,1,0.965025230555072,3.28,0,0,0,2,0,0,0,0,94,"osaka n.","blinkova a.",1500,1500,568
"2019-usopen-2101",2019,1,3,17,"Naomi Osaka","Anna Blinkova",1,2,1,"BC","NCTL",12,29.244,31.644,"15","40","40-15",0,0,1.05742126326779,9.87,0,0,0,2,0,0,0,0,103,"osaka n.","blinkova a.",1500,1500,589
