"state","Pwin_FALSE","Pwin_TRUE","importance"
"40-0",0.151724137931034,0.98740377886634,0.835679640935306
"0-40",0.173633440514469,0.987433542774287,0.813800102259818
"30-0",0.391208251473477,0.950566750629723,0.559358499156245
"0-30",0.406783738272793,0.948637569327225,0.541853831054432
"AD-40",0.402853124372112,0.890931523750771,0.488078399378659
"40-AD",0.431996605134734,0.878915662650602,0.446919057515869
"15-40",0.591795437821928,0.893025246041934,0.301229808220006
"40-15",0.599594245665806,0.892769673091258,0.293175427425452
"15-0",0.623142936236966,0.88619440531294,0.263051469075974
"0-15",0.622186495176849,0.87791796495888,0.255731469782031
"30-15",0.694074157051641,0.812046318700311,0.11797216164867
"15-30",0.694082362440881,0.799693408277977,0.105611045837095
"40-30",0.671971326164875,0.762477665276951,0.0905063391120761
"30-40",0.676600767187961,0.763762819757161,0.0871620525692004
"0-0",0.235185448344465,0.225518205580208,0.00966724276425709
"30-30",0.729473915914594,0.724538258575198,0.00493565733939594
"40-40",0.708728800373425,0.704200655637722,0.00452814473570251
"15-15",0.762883570694465,0.761391581079126,0.00149198961533858
