"ServerName","avg_speed","sd_speed","ace_pct","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"adam walton",86.0882352941177,8.12167935708636,0.0294117647058824,2.94913271171394,0.470588235294118,34,-0.025035114866616,0.232157717521483,-0.00996794627069858,0.495623350160734,0.238430517772634,0.480556181564816,0.666469331217347
"adrian mannarino",85.8553191489362,7.12797571720465,0,2.75362998837808,0.51063829787234,235,0.0374357106884022,0.217956057275945,0.0355906902933662,0.473202587183938,0.292682240596396,0.475047607578974,-0.6655024840464
"alejandro davidovich fokina",93.894495412844,7.2355285076968,0.00458715596330275,2.72081897979369,0.463302752293578,218,-0.010234123018294,0.155506163907819,-0.0130278541809132,0.473536875311872,0.307796588385759,0.476330606474491,0.0919023514458984
"alejandro tabilo",84.9285714285714,8.1850365922556,0,2.71167213188056,0.428571428571429,70,-0.0479838027364162,0.10528637857901,-0.0272566701389506,0.476555231307845,0.323285049992419,0.455828098710379,-0.593498964396049
"aleksandar kovacevic",91.5471698113208,7.23125172092486,0,2.56588318967749,0.377358490566038,53,-0.0927418183219748,0.0366413234468382,-0.0724160808763199,0.470100308888013,0.3407171671192,0.449774571442358,-0.313550458002219
"aleksandar vukic",91.780487804878,6.55557852184668,0,2.09845666455024,0.414634146341463,41,-0.0489282461910769,-0.00586053891872051,-0.0367515768876768,0.46356239253254,0.420494685260184,0.45138572322914,-0.591189259908049
"alex de minaur",90.1363636363636,6.14545474965548,0.00216450216450216,2.62847793456512,0.551948051948052,462,0.0831110372488355,0.254594251022503,0.0263101188634065,0.468837014699216,0.297353800925549,0.525637933084645,-0.471602213978618
"alex michelsen",92.6071428571429,6.44325883506044,0.0178571428571429,2.68777980140679,0.375,56,-0.103917519471733,0.10117399482119,-0.0743243506463445,0.478917519471733,0.27382600517881,0.449324350646345,0.356802247686323
"alex molcan",90.5853658536585,4.57030463234125,0.0121951219512195,2.80268923143698,0.451219512195122,82,-0.0198782575548821,0.229134537820015,-0.0114654808495032,0.471097769750004,0.222084974375107,0.462684993044625,-0.229930814541318
"alexander bublik",93.7777777777778,15.3307755752461,0.0233918128654971,2.70545017684517,0.467836257309941,171,-0.0432093117603113,-0.0170063628575613,-0.015243320227942,0.511045569070253,0.484842620167503,0.483079577537883,1.9735143994451
"alexander shevchenko",90.2613636363636,6.07518850411257,0,2.55455920843868,0.522727272727273,88,0.0561165830676097,0.209624476686392,0.0254037310796352,0.466610689659663,0.313102796040881,0.497323541647638,-0.58359249987134
"alexander zverev",98.6067415730337,10.4621307473803,0.0168539325842697,2.6576599046546,0.50561797752809,356,0.0162628352192617,0.118155461477524,0.0269392007912342,0.489355142308828,0.387462516050566,0.478678776736856,1.34106851263344
"alexandre muller",87.5376344086021,9.01033119569944,0,2.77491675927089,0.376344086021505,93,-0.102691341082945,0.0409309613720016,-0.0654048819178888,0.479035427104451,0.335413124649504,0.441748967939394,-0.25458698657558
"alexei popyrin",95.6736842105263,8.4175062028236,0.0105263157894737,2.86350168920937,0.466666666666667,285,-0.0150180939351665,0.164539497506029,-0.010154408075786,0.481684760601833,0.302127169160638,0.476821074742453,0.675675609782587
"andreas seppi",87.9417475728155,7.06527720716514,0,2.46455201129666,0.436893203883495,103,-0.0328365190502697,0.086731357809707,-0.0126744632027103,0.469729722933765,0.350161846073788,0.449567667086205,-0.642980603070798
"andrey rublev",85.6792452830189,8.0048330405289,0.00514579759862779,2.60589253281454,0.500857632933105,583,0.0230277467969026,0.168401530661039,0.00121210632203106,0.477829886136202,0.332456102272065,0.499645526611074,-0.419505995070583
"andy murray",89.0225988700565,6.60058089924657,0,2.56920284256447,0.502824858757062,177,0.0339879677818571,0.182382263041471,0.0282392188718887,0.468836890975205,0.320442595715591,0.474585639885173,-0.589737282030775
"arthur cazaux",88.8235294117647,7.52559506651596,0.0294117647058824,2.51734290050757,0.470588235294118,34,-0.0183220451605181,0.165741235952082,-0.00617566847418616,0.488910280454636,0.304846999342036,0.476763903768304,0.597736360677436
