"cluster","avg_overperf_lm","avg_overperf_rf","avg_overperf_xgb","avg_rf_weighted_baseline"
"1",0.0581863410762284,0.0600602981039587,0.0464533620462931,0.269897863794721
"2",0.0494694191145208,0.00162416390436789,0.013876247510181,-0.396728316495277
"3",0.0164540761608019,-0.00256338527050094,0.0270648882252902,-0.102314876915501
"4",0.0996238001272154,0.103802956526029,0.133949210850606,0.070129839341684
