"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adrian mannarino",0.273006134969325,-1.9694509032147,2.03551514365857,0.321892963464853,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,"3",1506.09296842958,-0.853850588472436,-0.871215180564593,-0.70652808892776,-0.767589528438623,-0.718082327306913,0.31948004162888,0.318484767007319,0.303857952356339,-0.594603383475661
"alejandro davidovich fokina",0.348993288590604,-0.38423378248198,-0.573119562964204,1.40995758440573,-0.181089448698018,-0.223644375566856,2.80448620198832,-1.56602823871233,-0.32456914940173,"3",1527.77389593185,0.119751424023701,-0.412953437402694,-0.203350591210898,-0.30615233467427,-0.27042380082228,0.358977959986881,0.321682821632327,0.292880684137344,-0.088850998549951
"alejandro tabilo",0.43,-0.264244161329328,0.468154845528301,0.821009797356239,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,"4",1536.64520946063,0.51812592641545,-0.22544376553046,0.32831994827481,0.330480706385615,0.317113950648562,0.384499552414242,0.39370973695349,0.395611315965652,-0.0822023455277923
"aleksandar kovacevic",0.320987654320988,0.368853587172067,0.106065294152465,-1.05163413325931,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,"2",1500,-1.12746094598588,-1,-0.362216311704283,-0.242000851200351,-0.299615621019177,0.437325146556274,0.431560617545881,0.437800943851471,0.115250543329603
"aleksandar vukic",0.333333333333333,0.273076352198721,-1.60520312191555,0.177517601906692,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,"1",1515.53870633415,-0.42968103057707,-0.671564113185443,-0.302970456726591,-0.287881666663093,-0.279082335670513,0.365090935290219,0.374777677058573,0.381867319345474,0.027439574406294
"alex de minaur",0.366586538461538,-0.00597922821350015,0.725142416072704,1.18057470127269,-0.181089448698018,4.43561344874265,-0.353718980430959,-1.56602823871233,-0.32456914940173,"1",1541.22849549431,0.723942605880597,-0.12856854434878,-0.0882267579479489,-0.101110720336809,-0.101556882826701,0.363312439329507,0.36898826946258,0.357999086380005,0.00858236080202724
"alex molcan",0.341176470588235,-0.652147376380098,-0.0891532082903905,-0.0127192661081104,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,"3",1537.80716086312,0.570304424026722,-0.2008840286318,-0.272650470367209,-0.350903349987745,-0.292020777929956,0.293624546282823,0.32264219761198,0.319378197193146,-0.228745444636365
"alexander bublik",0.478031634446397,1.7940390186799,1.37879999276634,0.314303787081561,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,"2",1543.89029837736,0.843473315234584,-0.0723070016168579,0.66519913973312,0.703553838539727,0.632560720330749,0.475236037801239,0.434326731402799,0.422368168830872,0.628239723621681
"alexander zverev",0.507078507078507,2.40792340217422,-0.028756170691084,-0.102815049015333,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,"2",1547.0194494691,0.983990726217476,-0.00616729270590033,0.840226503836159,0.886799445847027,0.846059556126861,0.429814722196547,0.438800286559564,0.462133526802063,0.785040596542352
"alexandre muller",0.35361216730038,-1.35656481864602,1.07606025021127,0.721634162151213,-0.181089448698018,-0.223644375566856,-0.353718980430959,-1.56602823871233,3.05635949019963,"3",1516.38656594012,-0.391607114292915,-0.653643218383013,-0.168759310266406,-0.214481324460194,-0.145541823456716,0.375377491039166,0.352044441180006,0.393537133932114,-0.419273042752445
"alexei popyrin",0.404761904761905,1.10629447363436,-2.1045797900153,-0.46026589764736,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,"2",1534.1298743078,0.405172485348793,-0.278609474038634,0.17361878868568,0.268186141457987,0.182170879878034,0.414793767870513,0.435779683915643,0.413511723279953,0.286557702216507
"aljaz bedene",0.416666666666667,-0.242937500180555,1.04717755128312,-0.391059875991705,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,"4",1545.05576251882,0.895809555623844,-0.0476730172541585,0.242133866274432,0.245346549698735,0.241861391975602,0.384927422574771,0.391172958615183,0.400958091020584,-0.0561610540258251
