"Estimate","Std. Error","z value","Pr(>|z|)","term","model","predictor","outcome","serve_type","n_servers","correlation"
0.297654863443275,0.020365709927973,14.6154916521931,2.23733437642536e-48,"(Intercept)","win_sqs_first","sqs","win","first",85,NA
0.132606071641004,0.0222924764774127,5.94846749195245,2.70664627727291e-09,"SQS_z","win_sqs_first","sqs","win","first",85,0.387061524432433
0.225930867088549,0.0228123646805265,9.90387757922402,4.00441089564641e-23,"(Intercept)","win_welo_first","welo","win","first",85,NA
0.13988205490785,0.0167203337325746,8.3659846235803,5.96149718010707e-17,"welo_z","win_welo_first","welo","win","first",85,0.52758531337679
0.308829316307948,0.0201704773524475,15.3109572426889,6.46060401215686e-53,"(Intercept)","win_ace_rate_first","ace_rate","win","first",85,NA
0.0995850775952651,0.0220329060822385,4.51983398030022,6.18881443254743e-06,"ace_rate_z","win_ace_rate_first","ace_rate","win","first",85,0.259721436427669
0.319059247578738,0.0201829300963441,15.8083710370939,2.72419931251696e-56,"(Intercept)","win_unreturned_rate_first","unreturned_rate","win","first",85,NA
0.00577414662911685,0.0242110743019762,0.238491962690212,0.811499548383769,"unreturned_rate_z","win_unreturned_rate_first","unreturned_rate","win","first",85,-0.070707447612525
0.294143284856804,0.0205703399589525,14.2993886072743,2.20740284460391e-46,"(Intercept)","win_first_serve_points_won_first","first_serve_points_won","win","first",85,NA
0.111032873747367,0.0210370978242003,5.27795586041524,1.30632920116473e-07,"first_serve_points_won_z","win_first_serve_points_won_first","first_serve_points_won","win","first",85,0.348761377594082
0.32309202252506,0.0201153147562983,16.0619918922172,4.71173990355708e-58,"(Intercept)","win_first_serve_in_pct_first","first_serve_in_pct","win","first",85,NA
-0.0722136023716221,0.0205673463280333,-3.51108019575646,0.000446289741080491,"first_serve_in_pct_z","win_first_serve_in_pct_first","first_serve_in_pct","win","first",85,-0.242956713971479
0.309343209575828,0.0201572438774862,15.3465032945966,3.7379875737947e-53,"(Intercept)","win_random_effects_only_first","random_effects_only","win","first",85,NA
0.100937653907317,0.0215225310848801,4.68985982685967,2.73392270196628e-06,"random_effects_only_z","win_random_effects_only_first","random_effects_only","win","first",85,0.239298357716851
0.294864143712285,0.0204357935340325,14.4288081214579,3.40921618557092e-47,"(Intercept)","win_fixed_effects_only_first","fixed_effects_only","win","first",85,NA
0.134075235663332,0.0221400674132142,6.0557735963943,1.39744435330736e-09,"fixed_effects_only_z","win_fixed_effects_only_first","fixed_effects_only","win","first",85,0.396754119410366
-0.504237650544221,0.0210043569192693,-24.0063360417208,2.38782964524251e-127,"(Intercept)","eff_sqs_first","sqs","eff","first",85,NA
0.223999226090539,0.0232749759362651,9.62403684987371,6.329711544519e-22,"SQS_z","eff_sqs_first","sqs","eff","first",85,0.578324380242007
-0.567986191757496,0.0237203830058634,-23.9450683244489,1.04006467669683e-126,"(Intercept)","eff_welo_first","welo","eff","first",85,NA
0.150213465207595,0.0166540922393589,9.01961290046139,1.88755087580292e-19,"welo_z","eff_welo_first","welo","eff","first",85,0.459261490446698
-0.485694332888247,0.0206265476325039,-23.5470492465194,1.34585551807613e-122,"(Intercept)","eff_ace_rate_first","ace_rate","eff","first",85,NA
0.193352167239101,0.0220675587904522,8.76182857719441,1.92108265545529e-18,"ace_rate_z","eff_ace_rate_first","ace_rate","eff","first",85,0.448624342150495
-0.456241102090763,0.020443398297959,-22.317282843152,2.51092930648259e-110,"(Intercept)","eff_unreturned_rate_first","unreturned_rate","eff","first",85,NA
0.0687998365220741,0.0243148080545683,2.82954471068292,0.0046614286314973,"unreturned_rate_z","eff_unreturned_rate_first","unreturned_rate","eff","first",85,0.124965593330191
-0.494803467675288,0.0211006793765061,-23.449646281352,1.33293564826205e-121,"(Intercept)","eff_first_serve_points_won_first","first_serve_points_won","eff","first",85,NA
0.134484323606931,0.0214849012362102,6.2594806524069,3.86261650065066e-10,"first_serve_points_won_z","eff_first_serve_points_won_first","first_serve_points_won","eff","first",85,0.350952335584589
-0.455970180926686,0.0203940992507103,-22.3579465472497,1.01056500193401e-110,"(Intercept)","eff_first_serve_in_pct_first","first_serve_in_pct","eff","first",85,NA
-0.155228192916696,0.0210891083064363,-7.36058588448338,1.83104782067823e-13,"first_serve_in_pct_z","eff_first_serve_in_pct_first","first_serve_in_pct","eff","first",85,-0.378652085034672
-0.48170577786864,0.0205998076173641,-23.3839940069439,6.2185998165528e-121,"(Intercept)","eff_random_effects_only_first","random_effects_only","eff","first",85,NA
0.168922081253488,0.0220860855125685,7.64834860199011,2.03576710301448e-14,"random_effects_only_z","eff_random_effects_only_first","random_effects_only","eff","first",85,0.395477623616839
-0.509219353572268,0.0211148627103467,-24.1166310459949,1.67286935354363e-128,"(Intercept)","eff_fixed_effects_only_first","fixed_effects_only","eff","first",85,NA
0.226582243940295,0.0231255347811348,9.79792450573445,1.14922677329432e-22,"fixed_effects_only_z","eff_fixed_effects_only_first","fixed_effects_only","eff","first",85,0.588617019496729
-0.0224520730401861,0.0279554132924637,-0.803138655304329,0.421894597417435,"(Intercept)","win_sqs_second","sqs","win","second",66,NA
-0.00442065609557156,0.0275300025875037,-0.160575941884516,0.872427404572699,"SQS_z","win_sqs_second","sqs","win","second",66,0.000150061043873807
-0.0771074547318406,0.0314134079915543,-2.45460329400018,0.0141040137819333,"(Intercept)","win_welo_second","welo","win","second",66,NA
0.0912236447520685,0.0238418808921171,3.82619329258666,0.000130140116734736,"welo_z","win_welo_second","welo","win","second",66,0.364678298125178
-0.020099556030757,0.0279599304462639,-0.718870029715786,0.472221004053414,"(Intercept)","win_ace_rate_second","ace_rate","win","second",66,NA
-0.0343328303942989,0.025691169403174,-1.33636697713174,0.181429354482686,"ace_rate_z","win_ace_rate_second","ace_rate","win","second",66,-0.0890778982796683
-0.0238278682358799,0.0279370353294676,-0.85291327282486,0.393707400655493,"(Intercept)","win_unreturned_rate_second","unreturned_rate","win","second",66,NA
-0.0461215688617647,0.0274051600748497,-1.6829519964779,0.0923843845862046,"unreturned_rate_z","win_unreturned_rate_second","unreturned_rate","win","second",66,-0.194642978192976
-0.0295726725301205,0.028744801845294,-1.02880070940416,0.303573333320307,"(Intercept)","win_first_serve_points_won_second","first_serve_points_won","win","second",66,NA
0.0308948836749769,0.028718710039522,1.07577546597532,0.282027687176967,"first_serve_points_won_z","win_first_serve_points_won_second","first_serve_points_won","win","second",66,0.0508919648267741
