"ServerName...1","serve_score_rf","serve_score_rf_weighted","ServerName...4","avg_speed","sd_speed","ace_pct","location_entropy","expected_win_rate...9","overperformance...10","win_rate","expected_win_rate...12","overperformance...13","n_serves"
"adrian mannarino",0.503000027619008,0.281364499993824,"adrian mannarino",101.153374233129,14.8282818433449,0.00920245398773006,2.88217608745446,0.520734781946911,-0.0145998126217576,0.506134969325153,0.520734781946911,-0.0145998126217576,326
"alejandro davidovich fokina",0.545591229077374,0.325099918999549,"alejandro davidovich fokina",107.778523489933,10.9801446989809,0.0268456375838926,3.00752775132194,0.533966073643333,0.0331480203163987,0.567114093959732,0.533966073643333,0.0331480203163987,298
"alejandro tabilo",0.562232568359686,0.487324295895605,"alejandro tabilo",108.28,12.5161844973562,0.08,2.93967738323086,0.549765786249435,0.0202342137505648,0.57,0.549765786249435,0.0202342137505648,200
"aleksandar kovacevic",0.527330594894676,0.518137532691993,"aleksandar kovacevic",110.925925925926,11.9820467552269,0.0987654320987654,2.72393740968865,0.543766898909548,-0.0499397384157211,0.493827160493827,0.543766898909548,-0.0499397384157211,81
"aleksandar vukic",0.488505742520981,0.263376949174144,"aleksandar vukic",110.525641025641,9.45766281632973,0.0128205128205128,2.86554316745644,0.520618930287746,-0.0590804687492842,0.461538461538462,0.520618930287746,-0.0590804687492842,78
"alex de minaur",0.564241716087587,0.461077193767975,"alex de minaur",109.359375,12.8952806633855,0.0600961538461538,2.98110144767227,0.548121027316317,0.030003972683683,0.578125,0.548121027316317,0.030003972683683,832
"alex molcan",0.510634219293215,0.298048001992756,"alex molcan",106.658823529412,11.6940694586701,0.0235294117647059,2.84362672290375,0.522680243040005,-0.016797890098829,0.505882352941176,0.522680243040005,-0.016797890098829,85
"alexander bublik",0.567641502286199,0.742522489007057,"alexander bublik",116.882249560633,13.8595260574163,0.140597539543058,2.8813017681643,0.577007557286805,0.00295729332830952,0.579964850615114,0.577007557286805,0.00295729332830952,569
"alexander zverev",0.611166267799205,0.6534296769507,"alexander zverev",119.447876447876,11.7831643722682,0.115830115830116,2.83324714059081,0.565002072232424,0.0784985712682196,0.643500643500644,0.565002072232424,0.0784985712682196,777
"alexandre muller",0.516677382816972,0.326273296924278,"alexandre muller",103.714828897338,13.4129384054757,0.026615969581749,2.92822870547671,0.529139130054518,-0.0234357080012859,0.505703422053232,0.529139130054518,-0.0234357080012859,263
"alexei popyrin",0.533288277821953,0.539276070641835,"alexei popyrin",114.007936507937,8.72100547574284,0.119047619047619,2.79206662817958,0.551438459225425,-0.011755919542885,0.53968253968254,0.551438459225425,-0.011755919542885,126
"aljaz bedene",0.536422462565291,0.464841601588435,"aljaz bedene",108.369047619048,13.3703319852312,0.0714285714285714,2.80003958290785,0.539985357598706,-0.00427107188442055,0.535714285714286,0.539985357598706,-0.00427107188442055,84
"andrey rublev",0.554028211402144,0.479614226753502,"andrey rublev",109.508700102354,14.3447088566302,0.0583418628454452,2.91641920881652,0.546455998744749,0.0369626297097037,0.583418628454452,0.546455998744749,0.0369626297097037,977
"andy murray",0.536440149694728,0.425674060184081,"andy murray",106.763919821826,14.1516795681891,0.0534521158129176,2.83551664727794,0.536399942005786,0.0248472740298485,0.561247216035635,0.536399942005786,0.0248472740298485,449
"arthur fils",0.508928725878659,0.398595282279232,"arthur fils",111.470085470085,13.1670779687071,0.0427350427350427,2.66725996114023,0.525615075985611,-0.0384355888061234,0.487179487179487,0.525615075985611,-0.0384355888061234,117
"arthur rinderknech",0.562161206747695,0.589421284647573,"arthur rinderknech",113.211009174312,12.3820908562382,0.110091743119266,2.81215207253827,0.556192435357092,0.00344059216584336,0.559633027522936,0.556192435357092,0.00344059216584336,109
"aslan karatsev",0.519711645845642,0.358204208646733,"aslan karatsev",112.512,10.4854861286847,0.04,2.76236171653619,0.526718344088445,0.00128165591155471,0.528,0.526718344088445,0.00128165591155471,125
"ben shelton",0.572884625925955,0.522125322572287,"ben shelton",113.185185185185,11.8064102398368,0.0883190883190883,2.81386267134079,0.548364832149894,0.0299827461976846,0.578347578347578,0.548364832149894,0.0299827461976846,351
"benoit paire",0.51822425911707,0.481909594802797,"benoit paire",106.320987654321,13.3321295752909,0.0864197530864197,2.79561887442168,0.542052105610629,-0.0482249451168015,0.493827160493827,0.542052105610629,-0.0482249451168015,81
"borna coric",0.512398722536524,0.386466783917351,"borna coric",113.255813953488,9.67250323036648,0.0581395348837209,2.70937487475908,0.528234194957453,-0.0514900089109413,0.476744186046512,0.528234194957453,-0.0514900089109413,86
"botic van de zandschulp",0.565959120885076,0.553509378770134,"botic van de zandschulp",112.71546961326,11.7440022259453,0.0966850828729282,2.92706843891647,0.557528300668632,-0.00504211282332834,0.552486187845304,0.557528300668632,-0.00504211282332834,362
"brandon nakashima",0.556841437737668,0.421276959253642,"brandon nakashima",109.717086834734,10.1848678470888,0.0812324929971989,2.70301298836999,0.532139386394598,0.050493666826691,0.582633053221289,0.532139386394598,0.050493666826691,357
"cameron norrie",0.556893392909451,0.365542252079491,"cameron norrie",105.430369787569,12.102306272246,0.046420141620771,2.93266007725836,0.53491874908488,0.0307775530394312,0.565696302124312,0.53491874908488,0.0307775530394312,1271
"carlos alcaraz",0.573615756551292,0.441909561118368,"carlos alcaraz",112.568446899939,11.9252282021097,0.047268262737876,3.00506326581037,0.547277955695687,0.0432683917567379,0.590546347452425,0.547277955695687,0.0432683917567379,1629
"casper ruud",0.551838731921558,0.417439832592444,"casper ruud",108.917333333333,10.3709844794544,0.0693333333333333,2.91485268965992,0.541378509562083,0.0159548237712501,0.557333333333333,0.541378509562083,0.0159548237712501,375
"christopher eubanks",0.547398334219648,0.496173629353695,"christopher eubanks",115.775132275132,9.26043554202934,0.0952380952380952,2.71389300237922,0.542044534333583,0.0293840370949883,0.571428571428571,0.542044534333583,0.0293840370949883,378
"cristian garin",0.545230348722367,0.348826986247508,"cristian garin",107.681208053691,11.8746555566287,0.0302013422818792,2.98780516763845,0.535396911767766,0.00822724930605956,0.543624161073825,0.535396911767766,0.00822724930605956,596
"daniel evans",0.551445489069321,0.360486507114398,"daniel evans",107.724609375,10.4192139538732,0.048828125,2.95193079198336,0.536129289077055,0.0283238359229453,0.564453125,0.536129289077055,0.0283238359229453,512
