"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",0.377049180327869,0.478761099732643,0.237473936078054,0.0713130249268562,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.0260419157666461,-0.0678731085808869,-0.103539351005037,0.372178811441192,0.39090829857811,0.398683965206146,0.0910969562812602
"aleksandra krunic",0.48780487804878,-0.559045259960189,0.385280085376229,-0.984866496182073,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.699503592687303,0.839918346501064,0.813278780135816,0.356983452909762,0.316300611807125,0.317868411540985,-0.155328519829407
"aliaksandra sasnovich",0.337142857142857,-0.976172664337475,-0.0277669290577504,-0.000567560737002382,-0.284470366018268,-0.442011204872034,-0.832403644091255,-0.686655502937942,5.93774783188613,-0.0115832772702315,-0.0248228949676581,0.115605936592499,0.339309166016912,0.342211483641084,0.312986731529236,-0.197762235117987
"alison riske",0.34,0.0539252066370915,-0.596014255553267,-0.211144750428648,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.182136086056995,-0.223304452011806,-0.191565873337271,0.374063159355166,0.38559689206733,0.380028128623962,-0.0378354809235251
"alison van uytvanck",0.380645161290323,0.251316760012819,1.39573977557456,-0.252342224279821,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.00731745759463034,0.0570141867396976,0.0195458272992244,0.382013674963349,0.369003343603055,0.376561015844345,0.0492661359546824
"alizé cornet",0.309941520467836,-0.574993652998169,-0.269314118023814,0.615309912578935,3.4912272193151,-0.442011204872034,-0.832403644091255,-0.686655502937942,-0.167260502306652,0.21842575643273,0.0201000656669553,0.255873651661374,0.269091453302604,0.305837256014058,0.256476134061813,0.458421472933748
"alycia parks",0.267857142857143,2.06737340248524,0.816301929554208,-1.88399144730433,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.83806132346897,-0.411159925469644,-0.346504242215901,0.424591686948489,0.351812543545078,0.340259999036789,0.414492897742939
"amanda anisimova",0.326388888888889,0.313193300953015,-0.856572294159762,0.534472052673623,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.234622243157851,-0.302219872489199,-0.354830189141197,0.370268029096457,0.388099646477205,0.400531470775604,0.0370551472101704
"ana bogdan",0.311688311688312,-0.666824945198223,1.30304262190023,-2.16990490073632,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.21374911161995,-0.173379799093477,-0.0362927885507146,0.35166375098076,0.347091009282101,0.319271773099899,-0.172864621265104
"ana konjuh",0.354838709677419,0.181192776576243,1.166166565475,-0.918041641267044,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,-0.061728700986652,-0.106109702107377,-0.166117226498301,0.366383234565463,0.376505418919879,0.389549285173416,-0.0992564662133043
"anastasia pavlyuchenkova",0.358662613981763,0.451453320642904,-0.627083282585728,0.251255117563054,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.0631784743184948,-0.108429286338183,-0.172980751236921,0.370478276023901,0.380802962826391,0.3948073387146,0.067813150715194
"anastasia potapova",0.395348837209302,0.162456036815849,-0.884553951695856,0.826394565190562,-0.284470366018268,-0.442011204872034,-0.832403644091255,-0.686655502937942,5.93774783188613,0.190054706086922,0.0850808553672299,0.119958297301314,0.359804734556233,0.377976041708697,0.370283275842667,0.0345689284505039
"anastasija sevastova",0.464285714285714,0.0644970898542802,0.0810917665251946,-0.0943750687146811,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.476749036785335,0.538167603278125,0.407043970330298,0.375123930017663,0.354396413379572,0.379232943058014,-0.0184397248711578
"andrea petkovic",0.409090909090909,0.425202537122474,-2.28708625493177,1.00073173820184,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.162394582303309,0.271866051170983,0.573353888895928,0.378719813196808,0.353578146670215,0.28928729891777,0.018019319058949
"anett kontaveit",0.396449704142012,0.57657268318673,-0.0505784950455257,-0.406543780805135,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,0.0942906688025272,0.0591010389664301,-0.0159188382311526,0.378815427779443,0.38438176877153,0.399775981903076,0.0987684968191481
"angelique kerber",0.241545893719807,-1.21317819841841,-0.959040949084043,-0.722852089944636,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,-0.459098157263356,-0.429824194251731,-0.351482654470188,0.327406603857343,0.329312381206529,0.314989000558853,-0.440716403080615
"anhelina kalinina",0.297435897435897,-0.202595440464533,-0.0156923629606814,0.582858106558913,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,-0.37782471011946,-0.290290529719869,-0.279618508344756,0.368096816904055,0.356710783505367,0.355862826108932,-0.0681351917564833
"anna blinkova",0.329787234042553,-0.400131554198914,1.64915410721874,-0.388975752236021,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.145390326542342,-0.2290768053431,-0.23662608520967,0.356978187625259,0.376562792139379,0.379230797290802,-0.0685715754798211
"anna bondar",0.457286432160804,0.93217842833768,-0.370360760333098,0.14340495094814,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.346676273971414,0.241751445500847,0.0690049179258117,0.39245090494272,0.407922819083173,0.442867696285248,0.157993605264294
"anna kalinskaya",0.392452830188679,0.662095229023873,-1.13768098472784,0.905115877116443,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,0.0839273120658365,0.0394280171904338,0.00521314611303719,0.376756712702907,0.38440196049905,0.391363531351089,-0.0261303812864788
"arantxa rus",0.325301204819277,0.428900669874377,0.461080483812739,1.10089329545708,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.293889619233904,-0.347481723030022,-0.300761941893106,0.380264552003871,0.396254051829834,0.388146102428436,0.0994751320772521
"aryna sabalenka",0.438556067588326,1.73766812321941,0.0793481114942372,0.383675358916248,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,0.0817131382674211,0.198760156276121,0.137904115167615,0.423274045719563,0.397970914397878,0.409740686416626,0.3420527851614
"ashleigh barty",0.365168539325843,1.0949587405182,0.466111438124437,-0.22895522179089,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,-0.104156235779368,-0.111971622289904,0.00833984074695472,0.384647877736995,0.388032203395947,0.36342591047287,0.222764660156231
"ashlyn krueger",0.350649350649351,2.15785010189368,-1.28253248912153,-0.393487251305083,3.4912272193151,-0.442011204872034,-0.832403644091255,-0.686655502937942,-0.167260502306652,0.0672626321552795,0.0180121511416245,-0.00690818775970586,0.338069867871642,0.346971420791232,0.352092832326889,1
