"cluster","n","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WBC_DNCTL","WW_DCTL"
"1",27,0.6,0,0,0,0
"1",3,0,0.0666666666666667,0,0,0
"1",15,0,0,0.333333333333333,0,0
"2",10,0,0,0,0.476190476190476,0
"2",3,0.142857142857143,0,0,0,0
"2",1,0,0.0476190476190476,0,0,0
"2",7,0,0,0.333333333333333,0,0
"3",6,0.461538461538462,0,0.461538461538462,0,0
"3",1,0,0.0769230769230769,0,0,0
"4",1,0.04,0,0,0,0
"4",3,0,0.12,0,0,0
"4",19,0,0,0.76,0,0
"4",2,0,0,0,0,0.08
