"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL"
"1",11,0.423076923076923,0,0.423076923076923,0
"1",4,0,0.153846153846154,0,0
"2",13,0,0.866666666666667,0,0
"2",2,0,0,0,0.133333333333333
"3",4,0.333333333333333,0,0,0
"3",5,0,0.416666666666667,0,0
"3",3,0,0,0.25,0
"4",2,0.4,0,0.4,0
"4",1,0,0.2,0,0
