"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"avg_speed",-0.508005557370562,0.260503484774949,-0.276512085080742,-0.553321746335225,0.288048623285055,-0.317332989618983,-0.210827225468934,-0.247299388805149,0.046551665472926
"sd_speed",-0.330165892553491,-0.450201676721552,0.746512994875901,-0.0892147027748989,0.11339031458245,-0.32069811976009,0.056827184320642,0.0642849595587399,0.00121926191319016
"win_rate",-0.458012619582295,-0.076742683610022,-0.280583943629493,0.763898303282909,-0.022490447610943,-0.323736224521506,-0.122413907521989,-0.0387982297643884,0.016297329403238
"ace_pct",-0.563372411060117,0.337717943176739,0.18064919726233,-0.0571098397444964,-0.583449236868978,0.38849049078062,0.166300120602816,0.115155170352351,-0.0202023326442098
"location_entropy",-0.255436769639407,-0.734728133504852,-0.414022415448463,-0.180821994545025,0.0255421490149869,0.413978702418296,0.136880535045915,-0.00117332337903167,-0.00685910731739249
"modal_location_WBC_DNCTL",0.0280712088367372,-0.101647980436293,0.190572053825904,0.0640437066049314,-0.131686186400162,0.268609337907053,-0.644030404591243,-0.542904274382433,-0.386584984152755
"modal_location_WBW_DNCTL",0.124014221852556,-0.131123222350919,-0.197472273805525,-0.183359765016168,-0.478655793599637,-0.485143288666215,0.2136182901998,0.00432277877740599,-0.620229176499538
"modal_location_WC_DNCTL",-0.149927303923285,0.204322190085976,0.0666216305362327,0.14555472638117,0.561170983959161,0.247530214367166,0.32524952954146,0.0591069937171668,-0.651678335311211
"modal_location_WW_DCTL",-0.0431641529730839,-0.0203700067378035,-0.0610894804452865,-0.0864202431236571,0.0351269112879515,0.0236204394135129,-0.569868567275562,0.788470474669974,-0.195688112135805
