"ServerName","avg_speed","sd_speed","location_entropy","win_rate","serve_efficiency","n_serves","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",83.6752136752137,7.56560850599727,2.49890715694713,0.495726495726496,0.273504273504274,117,-0.0434175034251319,-0.040650183839546,-0.0323204235133961,0.316921776929405,0.31415445734382,0.30582469701767,0.410416817040828
"aleksandra krunic",78.1224489795918,5.31363283239923,2.24156264992859,0.469387755102041,0.408163265306122,49,0.119433053679107,0.177564277818234,0.173157528955109,0.288730211627016,0.230598987487888,0.235005736351013,-0.894032041350675
"aliaksandra sasnovich",81.0344827586207,5.32114457164331,2.78066078838305,0.5,0.275862068965517,58,-0.0130458290422377,-0.0581651714932467,-0.0670255114292276,0.288907898007755,0.334027240458764,0.342887580394745,0.0536013481219491
"alison van uytvanck",79.1311475409836,5.45733576584785,2.74928847007672,0.475409836065574,0.377049180327869,61,0.0872385126121225,0.142613632605938,0.148914652525401,0.289810667715746,0.23443554772193,0.228134527802467,-0.356463235729718
"alizé cornet",78.8595041322314,6.5374635564618,2.57116137797781,0.462809917355372,0.264462809917355,121,-0.0244466300780228,0.00452806891026641,0.0129271260470398,0.288909439995378,0.259934741007089,0.251535683870316,-0.528225659065462
"amanda anisimova",86.2264150943396,7.59463755511834,2.72074857280812,0.452830188679245,0.245283018867925,53,-0.0680764579033002,-0.0698053658128439,-0.0604481286597702,0.313359476771225,0.315088384680768,0.305731147527695,1.07730370338677
"ana bogdan",77.0769230769231,6.17532309961312,2.53361841371894,0.446153846153846,0.184615384615385,65,-0.0961163283577522,-0.0902690638128697,-0.073048342191256,0.280731712973137,0.274884448428254,0.257663726806641,-0.917596182717336
"anastasia pavlyuchenkova",83.992,5.27394080483496,2.85405480553281,0.472,0.272,125,-0.0371790184049217,-0.0582628823401328,-0.0514218955039978,0.309179018404922,0.330262882340133,0.323421895503998,0.706856176004481
"anastasia potapova",83.3454545454545,4.97965837160692,2.93261050852684,0.490909090909091,0.318181818181818,110,0.00981861241324267,-0.0125761190694144,-0.0219663327390497,0.308363205768576,0.330757937251233,0.340148150920868,0.625737158447919
"andrea petkovic",87.2962962962963,3.24410488798012,2.70732407567664,0.518518518518518,0.444444444444444,27,0.118544691981822,0.136754392639536,0.0321519043710496,0.325899752462622,0.307690051804909,0.412292540073395,1.28755066999362
