"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adam walton",0.558823529411765,-0.754728896191222,-0.24547141123504,-0.516624874820969,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",-0.0105551647473481,-0.0488508336743796,0.0114902403270122,0.513703762134008,0.530304239730575,0.520360231399536,-0.423468518500039
"adrian mannarino",0.547457627118644,-1.17858409584835,0.768326094665456,0.829884811568678,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",0.0179753369329069,-0.0299318002527996,-0.110812275275617,0.541703282571342,0.538793261062389,0.509041666984558,-0.151037074766343
"alejandro davidovich fokina",0.55663430420712,0.0690348333291055,-0.734627652647985,1.97499230804291,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,"2",0.0208584488975548,-0.152488141383331,-0.0181873123548605,0.524958827116401,0.521630569209441,0.516709506511688,0.41678552684783
"alejandro tabilo",0.590163934426229,-0.891256108024369,0.912472438131755,1.74458407132046,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",0.436537004232045,0.252160064560181,0.267073255553715,0.555410400572811,0.540833810775752,0.531950175762177,0.0318409353674712
"aleksandar kovacevic",0.516393442622951,0.223727135758176,0.76667688205015,-0.545065185324863,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"1",-0.149451013578175,0.00497791949243705,-0.145036975769718,0.562725559203886,0.560380501473555,0.550200462341309,0.0826586727983241
"aleksandar vukic",0.48780487804878,-0.60341685076724,0.0120711277131427,-1.64418476406703,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"1",-0.41161030442406,-0.285248172314105,-0.372197336849652,0.557628788995044,0.549272094775436,0.541065335273743,-0.479553615254751
"alex de minaur",0.58876629889669,-0.457445655097277,0.152391040578407,0.560649170049515,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,"2",0.258246958730235,0.0631146426680508,0.173366464673465,0.517735742911551,0.52348857874107,0.511656165122986,0.198120634939091
"alex michelsen",0.477272727272727,0.256012373032345,-0.725598058567618,1.4889109793313,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",-0.577282876640525,-0.513544961450576,-0.575134121427934,0.540124456323304,0.533516549743121,0.509046614170074,0.0178136371221154
"alex molcan",0.548837209302326,-0.537951875060392,-0.691844055211417,0.153748041619189,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",0.0156899706386841,0.0118008730246069,0.0405206290999569,0.538571076685385,0.541993665431859,0.543210744857788,-0.162525348977654
"alexander bublik",0.577197149643705,0.829131076018034,3.62593539857628,0.0401904908145737,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",0.39048499602927,0.398110884721965,0.323022427628248,0.569576298040732,0.562469056617099,0.566006720066071,0.527508656740719
"alexander shevchenko",0.5,-0.458343858856627,-0.372900751949218,-1.1250784260934,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",-0.432237599307234,-0.365702512057976,-0.316246034166174,0.529844772518267,0.534383386577943,0.535122871398926,-0.4168244572999
"alexander zverev",0.596570397111913,2.32914834536628,0.794753706413327,-0.368022267728917,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"1",0.60097332052175,0.517902994705399,0.375220817231537,0.580456332103156,0.56260911221193,0.547751545906067,0.667788956474299
