effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),-0.3957133946936573,0.11056031689787121,-3.5791629926241337,3.446964425953725e-4
fixed,Speed_MPH_z,0.1537499397480145,0.013441254593915942,11.438659886526365,2.6799299464932738e-30
fixed,location_binWB_DNCTL,-0.19103938918185745,0.1252633833135391,-1.5251016229034664,0.12723375250283164
fixed,location_binWBC_DCTL,-0.040758261961511395,0.12427851448564332,-0.32795903724951425,0.7429426347140196
fixed,location_binWBC_DNCTL,-0.25806334090847644,0.11622261680564677,-2.2204227369963867,0.026390085043860548
fixed,location_binWBW_DCTL,-0.24413072161218569,0.13092814267972663,-1.8646160910521168,0.06223523574912581
fixed,location_binWBW_DNCTL,-0.20734570176730596,0.11372446944981907,-1.8232285696333566,0.06826877971349363
fixed,location_binWC_DCTL,0.552244406048389,0.11448587002342067,4.823690521244368,1.4092602510388088e-6
fixed,location_binWC_DNCTL,0.2887700180037226,0.11309553669193016,2.5533281546762185,0.010669891603543008
fixed,location_binWW_DCTL,0.6506545128793889,0.11165628196897945,5.8272987547637936,5.633171614350902e-9
fixed,location_binWW_DNCTL,0.24733809876941526,0.11602507110824072,2.131764250665027,0.033026231896933114
fixed,is_modal_location,0.040658179250827896,0.032273622923037794,1.25979594382027,0.20774298340708525
