effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),-0.8645705278910382,0.10538787251525077,-8.203700361879166,2.330986583128107e-16
fixed,Speed_MPH_z,0.17071960800878222,0.018226354285561786,9.36663500193342,7.488180419867167e-21
fixed,location_binWB_DNCTL,-0.19735171955702058,0.11199501287680734,-1.7621473893137027,0.07804439831597483
fixed,location_binWBC_DCTL,-0.09386004222800762,0.141405837463253,-0.6637635610509993,0.5068416511172866
fixed,location_binWBC_DNCTL,-0.10203851310171172,0.11087708899948112,-0.9202849211002395,0.35742388678252573
fixed,location_binWBW_DCTL,-0.3183274274113689,0.14984744507794634,-2.124343376330401,0.033641441108535494
fixed,location_binWBW_DNCTL,-0.07361743058517287,0.11119598182956071,-0.6620511764356054,0.5079384243017836
fixed,location_binWC_DCTL,0.198937026032939,0.1509953339031085,1.317504461168277,0.18766958668806008
fixed,location_binWC_DNCTL,-0.0676077463592056,0.11170047448928491,-0.6052592584617088,0.5450067473382549
fixed,location_binWW_DCTL,0.47219982906795865,0.11818632570610786,3.9953846288628245,6.458930525922317e-5
fixed,location_binWW_DNCTL,0.14891012898550016,0.1288703859502866,1.155503088529153,0.24788446857440674
fixed,is_modal_location,0.05577974424219874,0.041587653707543984,1.341257302815338,0.1798369273240832
