"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adam walton",0.558823529411765,-0.754728896191222,-0.24547141123504,-0.516624874820969,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1500,-0.855637019926784,-1,0.00705794597538242,-0.058609697279708,0.151729558317189,0.526223696307339,0.527920353578269,0.552485883235931,-0.452849136226607
"adrian mannarino",0.547457627118644,-1.17858409584835,0.768326094665456,0.829884811568678,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1528.18374605405,0.497330708750021,-0.359336093715862,0.0146000760641319,-0.00117460709076663,-0.0797667839569374,0.54385690000347,0.540961013675249,0.523234128952026,-0.134193525780017
"alejandro davidovich fokina",0.55663430420712,0.0690348333291055,-0.734627652647985,1.97499230804291,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,"1",1539.05829343104,1.01936605624521,-0.112139358822743,0.293608107686305,-0.0769281134047047,0.0439722616702441,0.589202856006517,0.527427600440759,0.534492254257202,0.283713722988128
"alejandro tabilo",0.590163934426229,-0.891256108024369,0.912472438131755,1.74458407132046,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1509.95326970705,-0.377827835774021,-0.773745454611009,0.37393019952342,0.26196178813707,0.288051921300772,0.558621079256444,0.540939346349384,0.534922957420349,0.0401960651138773
"aleksandar kovacevic",0.516393442622951,0.223727135758176,0.76667688205015,-0.545065185324863,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1500,-0.855637019926784,-1,-0.165576706433941,-0.0820352051583184,-0.154109685278478,0.55008694375012,0.55228099306142,0.552533984184265,0.108488360663202
"aleksandar vukic",0.48780487804878,-0.60341685076724,0.0120711277131427,-1.64418476406703,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1500,-0.855637019926784,-1,-0.401427868612785,-0.486805589772227,-0.512857253126073,0.541184163465321,0.5289164141133,0.522693455219269,-0.499550840529439
"alex de minaur",0.58876629889669,-0.457445655097277,0.152391040578407,0.560649170049515,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,"1",1544.76361992161,1.29325167132655,0.0175522992367219,0.406471292470721,0.122345322449349,0.249895196469799,0.567396354757078,0.527543321019562,0.529429972171783,0.0782226612613568
"alex michelsen",0.477272727272727,0.256012373032345,-0.725598058567618,1.4889109793313,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1511.51768334344,-0.302727770641499,-0.738183703897967,-0.511123533896228,-0.545604621666059,-0.489071606830346,0.533137869351326,0.529545058989412,0.542212963104248,-0.0308712565701567
"alex molcan",0.548837209302326,-0.537951875060392,-0.691844055211417,0.153748041619189,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1500,-0.855637019926784,-1,0.00553218481668681,0.00884712467840763,0.0186179010657285,0.540012814276516,0.54111589292718,0.54053670167923,-0.141005782438131
"alexander bublik",0.577197149643705,0.829131076018034,3.62593539857628,0.0401904908145737,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1508.04748915592,-0.46931530442587,-0.81706704891087,0.445343072518719,0.371030788003122,0.242207527829704,0.591864303154089,0.560269666028412,0.544255137443542,0.546747649141241
