"Estimate","Std. Error","z value","Pr(>|z|)","term","model","serve_type","correlation"
0.464407610866437,0.0237814242302686,19.5281664533509,6.32706133669979e-85,"(Intercept)","win_sqs_first","first",NA
0.109743560987352,0.0254803853283093,4.30698200099134,1.65497070837244e-05,"SQS_z","win_sqs_first","first",0.335385196979782
0.468976422047528,0.0240957963721192,19.4629973961006,2.26162795170349e-84,"(Intercept)","win_welo_first","first",NA
0.0295494017418375,0.0259993344707159,1.13654454405824,0.25572873420482,"welo_z","win_welo_first","first",0.135716101516192
-0.154404617463373,0.0233899933026875,-6.60131088817506,4.07537900044389e-11,"(Intercept)","eff_sqs_first","first",NA
0.245716947216349,0.0251751259741506,9.7603065608747,1.6665069706837e-22,"SQS_z","eff_sqs_first","first",0.681148900652379
-0.130764532254713,0.0235109372333232,-5.56185961269863,2.66914978988929e-08,"(Intercept)","eff_welo_first","first",NA
0.0146339233778742,0.0252999390446496,0.578417337371767,0.562982391547072,"welo_z","eff_welo_first","first",0.14784233192606
-0.0180616005850068,0.0323892087949951,-0.557642537652779,0.577088503312412,"(Intercept)","win_sqs_second","second",NA
-0.0623968541513233,0.0347308759017682,-1.79658164475335,0.0724020605369807,"SQS_z","win_sqs_second","second",-0.230386200556705
-0.0236868086333228,0.0328280308814952,-0.721542169825203,0.470576005044808,"(Intercept)","win_welo_second","second",NA
0.0137703417084834,0.034754216001617,0.396220755140692,0.691942181231003,"welo_z","win_welo_second","second",0.0556948929843277
-0.890459721928618,0.0357514566116414,-24.9069494315,6.25605006249609e-137,"(Intercept)","eff_sqs_second","second",NA
0.127003299624907,0.037595630299807,3.37813992243558,0.000729779371650849,"SQS_z","eff_sqs_second","second",0.250301358121779
-0.883512879348303,0.0360988009537518,-24.4748539011093,2.73709044844883e-132,"(Intercept)","eff_welo_second","second",NA
0.0165961244618407,0.0381262459351742,0.435293957082976,0.663349070617397,"welo_z","eff_welo_second","second",0.08982116637336
