predictor,outcome,n,rmse,cor,p_value,serve_type
SQS_second,serve_efficiency,60,1.2290698341004733,0.2318918692733397,0.07461395800096246,second
welo,serve_efficiency,60,1.3379156822457305,0.08982116637335998,0.4949244785758721,second
SQS_second,win_pct,60,1.5682648900582028,-0.25057021968945803,0.053482110953707696,second
welo,win_pct,60,1.3627668095205512,0.05569489298432774,0.6725404551994953,second
