"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.37959537035028,0.00366762871890645,103.498854285191,6.60313870601722e-102
"cluster1",0.00386442223628765,0.00895824082328193,0.431381820663298,0.667138249164093
"cluster2",0.0120944348492061,0.0122606305837006,0.986444764536383,0.326344138153827
"cluster3",-0.0295475462611108,0.0111093108327298,-2.6597101031739,0.00913704996898063
"cluster4",NA,NA,NA,NA
"avg_speed",0.0174001732544673,0.013593111911321,1.28007283159168,0.203541333339034
"sd_speed",0.0154833096238149,0.0128696259025539,1.20308933150437,0.231840175775211
"location_entropy",-0.0121530497417669,0.00758446023576816,-1.60236185094008,0.112294104275137
"modal_locationWB_DNCTL",-0.00818755107103639,0.0105502260894647,-0.776054560500118,0.439585669545482
"modal_locationWBC_DNCTL",-0.0124267022074716,0.00546710366686048,-2.27299553194821,0.025209851045984
"modal_locationWBW_DNCTL",-0.00711670298215891,0.0081797343246348,-0.870040847259016,0.386404174267799
"modal_locationWC_DNCTL",-0.0213276800158799,0.00920095245246126,-2.31798611351097,0.0225293321529502
"modal_locationWW_DCTL",NA,NA,NA,NA
"cluster2.avg_speed",0.0105431495258897,0.012311910668564,0.856337396340077,0.393900235731355
"cluster3.avg_speed",-0.00966603357506269,0.0113036751919685,-0.855123082617463,0.394568774130376
"cluster4.avg_speed",0.00376855057014342,0.00564251247393899,0.667885199642744,0.505776750946523
"cluster2.sd_speed",-0.00162938338735694,0.00602411819504858,-0.270476663073475,0.7873623804632
"cluster3.sd_speed",-0.0044297303850034,0.00657101323288785,-0.674132014045056,0.501814446481693
"cluster4.sd_speed",-0.0148321520295582,0.00856153148097022,-1.73241809161431,0.0863451655880015
"cluster2.location_entropy",0.014384977796457,0.00640921287749282,2.24442190818354,0.027054326994322
"cluster3.location_entropy",0.00689589001421181,0.00506979214753392,1.36019186063992,0.17688989674362
"cluster4.location_entropy",0.00582710639556171,0.00543134066938304,1.07286704154089,0.285965561060986
"cluster2.modal_locationWB_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWB_DNCTL",0.00480582624629298,0.0102055409563494,0.470903626456275,0.638756063855987
"cluster4.modal_locationWB_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWBW_DNCTL",-0.00536699682388834,0.00749880164439296,-0.715713933825863,0.475869865611494
"cluster3.modal_locationWBW_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWBW_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWC_DNCTL",-0.0047926492731859,0.00745998713434095,-0.642447391245978,0.52208288029082
"cluster3.modal_locationWC_DNCTL",-0.00277165919629413,0.00869705976393721,-0.318689220440562,0.75064040879615
"cluster4.modal_locationWC_DNCTL",0.0173384547504453,0.00622009451242383,2.78749056237233,0.00638029373970427
"cluster2.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster3.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster4.modal_locationWW_DCTL",NA,NA,NA,NA
