"ServerName","avg_speed","sd_speed","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"adrian mannarino",86.7327586206897,6.40157284833452,2.3072725620946,0.525862068965517,116,0.0620425943055039,0.222424813586096,0.0337553917043871,0.463819474660013,0.303437255379421,0.49210667726113,-1.44798405005254
"alejandro davidovich fokina",97.5142857142857,7.97847378613504,2.43040544081593,0.514285714285714,105,0.0541472601057205,0.19040699180551,0.0408052138026145,0.460138454179994,0.323878722480204,0.4734805004831,-0.582761189802192
"alejandro tabilo",93.9230769230769,7.11360424711801,2.80088901050503,0.476923076923077,65,-0.0038604290035783,0.146000615004497,0.00754917417040879,0.480783505926655,0.33092246191858,0.469373902752668,0.771646005522482
"aleksandar kovacevic",97.25,7.37676532544358,2.42417435230044,0.357142857142857,28,-0.102872558429659,0.0415175569841256,-0.050152034213171,0.460015415572516,0.315625300158732,0.407294891356028,-0.639722561277458
"aleksandar vukic",97.9090909090909,4.83941250772379,2.60811089349182,0.454545454545455,22,-0.0132986504654653,0.164537130972245,-0.01555357401642,0.46784410501092,0.29000832357321,0.470099028561875,0.0165108920331654
"alex de minaur",96.5459770114943,5.68943212874508,2.42662796734155,0.517241379310345,348,0.0566621133680051,0.22330789304584,0.0137355213297771,0.46057926594234,0.293933486264505,0.503505857980568,-0.718193221343192
"alex molcan",93.1923076923077,6.41884245495545,2.99250233519622,0.423076923076923,26,-0.0673462471731762,0.0925469198332157,-0.0106450708052681,0.490423170250099,0.330530003243707,0.433721993882191,1.49405441789152
"alexander bublik",104.288990825688,12.5059973774764,2.7237459772479,0.477064220183486,218,0.00864213747091969,0.0787014907444583,-0.000861247360437856,0.468422082712567,0.398362729439028,0.477925467543924,0.973571209882066
"alexander zverev",104.617924528302,8.78766150486777,2.73157030910946,0.533018867924528,212,0.0649272840953756,0.188313372861914,0.0315804494378598,0.468091583829153,0.344705495062614,0.501438418486669,0.863689554833456
"alexandre muller",89.876404494382,8.43938308915019,2.48535629317129,0.460674157303371,89,-0.00896644754987219,0.123530610171152,2.30492672305127e-05,0.469640604853243,0.337143547132219,0.46065110803614,-0.559439034721757
"alexei popyrin",103.935483870968,8.19729826984057,2.40997807157149,0.354838709677419,31,-0.0985957604345318,0.0325905153634118,-0.0303965327385874,0.453434470111951,0.322248194314008,0.385235242416007,-0.47406467820021
"aljaz bedene",93.7586206896552,8.24471767000715,2.76587635847043,0.517241379310345,29,0.0378424436288536,0.172123153415653,0.0163852884973161,0.479398935681491,0.345118225894691,0.500856090813029,0.671893254027852
"andrey rublev",93.2640449438202,6.34216379641125,2.66737970685055,0.480337078651685,356,0.00535870934079169,0.165513956122928,0.015209942468472,0.474978369310894,0.314823122528757,0.465127136183213,0.184291224228251
"andy murray",93.1516853932584,8.53404762670175,2.59972261135981,0.51685393258427,178,0.0447347218395073,0.175039111590176,0.0230877966232433,0.472119210744762,0.341814820994094,0.493766135961026,-0.00239303163354039
"arthur fils",97.468085106383,6.33091470769254,2.49373331597903,0.48936170212766,47,0.0263671680811728,0.184686665308497,0.00629094045765544,0.462994534046487,0.304675036819162,0.483070761670004,-0.395937259621375
"arthur rinderknech",101.688888888889,7.21999188561059,2.7315642205838,0.377777777777778,45,-0.0927709995890367,0.0530313469357945,-0.0671920603505933,0.470548777366814,0.324746430841983,0.444969838128371,0.717084924397124
