"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","cluster","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adam walton",0.470588235294118,-1.18221738606167,0.355775095988072,1.70177326038551,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,"2",0.161616486269996,-0.226146044736824,0.0147146174719977,0.516454765953433,0.461551533782861,0.480017960071564,0.0210854037575441
"adrian mannarino",0.51063829787234,-1.22900344185747,-0.264529939439219,0.659482622974342,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,"4",-0.0428013820387059,-0.137002948514177,-0.0397796069583385,0.434001307325367,0.45846194541409,0.434266716241837,-0.197809704031273
"alejandro davidovich fokina",0.463302752293578,0.385832442286205,-0.197391675233521,0.484556123394205,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,"2",-0.0174382601747622,-0.131380912958815,-0.0812195071523755,0.480967631525029,0.468565757673392,0.465988308191299,-0.0840315758490813
"alejandro tabilo",0.428571428571429,-1.41516001129508,0.395324927979139,0.43579120708509,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,"4",-0.184413802116897,-0.306319171522589,-0.246385668459066,0.472098994286862,0.465568839378184,0.460805237293243,-0.158958162352245
"aleksandar kovacevic",0.377358490566038,-0.085676763218682,-0.200061397134106,-0.34145857697691,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,"1",-0.362061255333362,-0.356170781792555,-0.313825674962631,0.475029992055611,0.473248394255176,0.490351498126984,-0.0617575038193268
"aleksandar vukic",0.414634146341463,-0.0388099878123208,-0.621840558314751,-2.83346627131885,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,"1",-0.51276896988575,-0.232596840910443,-0.0644233024943043,0.40752207874207,0.472733582139807,0.511147677898407,-0.282884480103537
"alex de minaur",0.551948051948052,-0.3690665487021,-0.87785435440885,-0.00774498243310694,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,"2",0.055006328078963,0.217830708044611,0.257503932750978,0.421016978967189,0.470558841897321,0.46172496676445,-0.180425774680523
"alex michelsen",0.375,0.127240885857289,-0.691954488157474,0.30841317401307,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,"2",-0.339885755782909,-0.471888573643936,-0.409293472020581,0.482252416010053,0.467007950963915,0.47220766544342,-0.215195161505205
"alex molcan",0.451219512195122,-0.278875107595992,-1.86111889134888,0.921033914159827,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,"3",-0.136072496712499,0.109193129839827,0.0515914485921501,0.463747177468267,0.485047949890042,0.504365980625153,-0.186149490111348
"alexander bublik",0.467836257309941,0.362387275862428,4.85594849329661,0.402619876429823,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,"4",-0.0964408893921073,0.0908203434297355,0.0524877955551389,0.45859166767166,0.48054767686088,0.490347683429718,0.786456177533621
