"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.584576914786378,0.00355626069673153,164.379657352918,1.13331650535228e-166
"cluster1",-0.00378677363918913,0.00808357811252721,-0.468452656295944,0.64016437284048
"cluster2",-0.0208642938897133,0.00690832118684418,-3.0201684787682,0.00298647029695075
"cluster3",-0.00961052310683761,0.00644780803043962,-1.49051011777445,0.138262299754358
"cluster4",NA,NA,NA,NA
"avg_speed",0.0065424351368837,0.0133907608844291,0.488578296136354,0.625878388358038
"sd_speed",0.000223394854106399,0.00896405484107217,0.0249211833335548,0.980152094585368
"location_entropy",-0.013795984465363,0.00907058302594578,-1.52095895334407,0.130447832412846
"modal_locationWBC_DNCTL",-0.000588147814650514,0.00387634222824534,-0.151727525594856,0.879612747068498
"modal_locationWBW_DNCTL",0.00890847779563245,0.00936900582750767,0.950845581659999,0.343264982365933
"modal_locationWC_DNCTL",0.00631905073141849,0.0126557636862785,0.499302206335418,0.618323232800799
"modal_locationWW_DCTL",NA,NA,NA,NA
"cluster2.avg_speed",0.00507070339166814,0.00798876224623069,0.634729540744642,0.526605065309134
"cluster3.avg_speed",0.006108635607261,0.00763327861646624,0.800263676224744,0.424867233147013
"cluster4.avg_speed",0.00322773897960294,0.00720520904456042,0.447972981719347,0.654841298646969
"cluster2.sd_speed",-0.00509213310941548,0.00584040870618989,-0.871879583361801,0.38471544808121
"cluster3.sd_speed",0.00421797961030994,0.00595483672345385,0.70832833983456,0.479878522377698
"cluster4.sd_speed",-0.00454551803729061,0.00725912820657868,-0.626179605585583,0.532181630815325
"cluster2.location_entropy",0.0113072892393123,0.00660175757827539,1.71276953224116,0.0888924156629608
"cluster3.location_entropy",0.0160077074111003,0.00623554354127124,2.56717113835385,0.0112659038415854
"cluster4.location_entropy",0.0114175431954765,0.00518735902860314,2.20103199576509,0.0293151217018239
"cluster2.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster3.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWBC_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWBW_DNCTL",-0.0167126524905405,0.00925931757220563,-1.80495510173536,0.0731566892586
"cluster3.modal_locationWBW_DNCTL",NA,NA,NA,NA
"cluster4.modal_locationWBW_DNCTL",NA,NA,NA,NA
"cluster2.modal_locationWC_DNCTL",-0.00515786454882593,0.0103273577391534,-0.499436998223783,0.618228526599707
"cluster3.modal_locationWC_DNCTL",-0.0101828281428204,0.00693149212501794,-1.46906725985699,0.143980775766541
"cluster4.modal_locationWC_DNCTL",-0.0101811401007954,0.00600420248992896,-1.6956690114753,0.0920947210053341
"cluster2.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster3.modal_locationWW_DCTL",NA,NA,NA,NA
"cluster4.modal_locationWW_DCTL",NA,NA,NA,NA
