"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adam walton",0.602941176470588,-0.817140397392611,-1.12263367520836,-0.674282530783892,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,"2",-0.0409501039548461,-0.100564820229054,0.0368163297868699,0.520515673984455,0.552032045111223,0.55988222360611,-0.283669097567867
"adrian mannarino",0.571830985915493,-0.986454494129028,1.1553837189354,0.376022523267789,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,"4",0.152573075744479,0.0508844414690833,-0.027645958840107,0.688654410510896,0.605472340310937,0.600207507610321,-0.260126058077777
"alejandro davidovich fokina",0.6075,-0.28925856629378,0.240538098036859,1.99677986392338,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,"2",0.0664019014072549,-0.0829333076875586,0.0594939089879983,0.562796689652257,0.551751911858746,0.559740841388702,-0.000180002474344819
"alejandro tabilo",0.690265486725664,-0.526504815300567,-0.292571060117556,0.508536291270408,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,"4",0.499241147061013,0.459568030880228,0.563044694759191,0.582791770247043,0.588834213179069,0.597208321094513,-0.141873253478593
"aleksandar kovacevic",0.623188405797101,0.850105527052989,-0.771220613942284,-2.46396274974759,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,"1",0.382214293763709,0.312299048211208,0.324514608658472,0.681858640127067,0.614221131603814,0.640762031078339,0.123934647812859
"aleksandar vukic",0.560975609756098,-0.151495877901731,0.764097092583717,-1.63250043370661,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,"1",0.0176288934228813,0.0281320572313886,-0.189317327877087,0.647483912171692,0.609785739232511,0.553608059883118,-0.12112750983247
"alex de minaur",0.620560747663551,0.125007272532135,-0.552400050352289,1.22499185287914,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,"2",0.157652278867157,0.0519274774819465,0.120367861602888,0.57726706314678,0.566941985931875,0.557550311088562,0.079939683499479
"alex michelsen",0.525,-0.0760972324930956,-0.310756144955312,1.60213906275198,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,"2",-0.26425968509174,-0.381367031781364,-0.296622913114078,0.592565572834162,0.56073480382573,0.585958480834961,0.0609817562834775
"alex molcan",0.609022556390977,-0.679052963423448,0.280388146226978,0.0416327694059211,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,"3",0.0950692200491643,0.00863906464001895,0.0175614205586802,0.573374187748463,0.567904341493177,0.538112938404083,-0.208658173710395
"alexander bublik",0.652,1.30025822328915,2.70954597141783,0.185759668980413,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,"4",0.409114038982037,0.349900225896134,0.434433361301274,0.627784184985899,0.598452367049603,0.625307679176331,0.364331006171256
