effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),-0.6340669843482898,0.09305678936377389,-6.813763817593367,9.507775339330593e-12
fixed,Speed_MPH_z,0.1794334411875353,0.015302843034386036,11.725497071644918,9.434559301262534e-32
fixed,location_binWB_DNCTL,-0.07872943677713531,0.10169334358194322,-0.7741847598284162,0.4388215393926812
fixed,location_binWBC_DCTL,-0.087619540482199,0.10672716475155687,-0.8209675642200629,0.41166474404929754
fixed,location_binWBC_DNCTL,-0.1391705481222416,0.09622162367217271,-1.4463541853793278,0.1480778849890267
fixed,location_binWBW_DCTL,-0.08213457805984839,0.11440058530830405,-0.7179559251248555,0.47278446330874524
fixed,location_binWBW_DNCTL,1.7785244570909752e-4,0.09513905156227533,0.0018693947731093404,0.9985084396412341
fixed,location_binWC_DCTL,0.6338457117415197,0.10015905880952951,6.328391253624812,2.477303495116027e-10
fixed,location_binWC_DNCTL,0.31435375527362075,0.09557854398631958,3.2889573555191953,0.0010055925851983646
fixed,location_binWW_DCTL,0.766557268591493,0.0939697727515059,8.157487734045931,3.420647923875041e-16
fixed,location_binWW_DNCTL,0.36047875776134863,0.10156724857725509,3.549163365266882,3.864572428108328e-4
fixed,is_modal_location,0.09613737768621529,0.03543023782654279,2.7134273881219437,0.006659116032507172
