effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),-0.2884860979606232,0.10100122985376273,-2.8562632195500526,0.004286595992632295
fixed,Speed_MPH_z,0.1566874860293706,0.011910282227033433,13.155648459255504,1.5792279359606375e-39
fixed,location_binWB_DNCTL,-0.1050670672005623,0.11216319091132722,-0.9367339351429927,0.34889543576467535
fixed,location_binWBC_DCTL,-0.2930085535348074,0.1120838851411275,-2.6141898379581803,0.008943932591057744
fixed,location_binWBC_DNCTL,-0.26929783389467493,0.10392172507245008,-2.591352613776679,0.009559948148839552
fixed,location_binWBW_DCTL,-0.31861759283162805,0.11900074204312075,-2.677442067682021,0.007418668071735084
fixed,location_binWBW_DNCTL,-0.12781676287444427,0.10188177403382506,-1.2545596509932062,0.20963865859657496
fixed,location_binWC_DCTL,0.5276919821726236,0.1037138104355592,5.08796253803148,3.61930840196862e-7
fixed,location_binWC_DNCTL,0.30793316921902736,0.10305291404044696,2.9881073435552485,0.0028071094358577305
fixed,location_binWW_DCTL,0.6739676936084585,0.10080564897355303,6.685812754256243,2.2964650511749367e-11
fixed,location_binWW_DNCTL,0.20432755704019373,0.10444883614371388,1.956245417220869,0.05043625067217126
fixed,is_modal_location,-0.03625831786262382,0.03169999565565648,-1.1437956729231904,0.25270838477881713
