effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),-0.8366721776426282,0.1055003316700912,-7.930517036277911,2.182353681742677e-15
fixed,Speed_MPH_z,0.14107557212955657,0.01577414371387748,8.943469432540022,3.7713967843389156e-19
fixed,location_binWB_DNCTL,-0.010904325795740945,0.10653732949153322,-0.10235216001549521,0.918477154950128
fixed,location_binWBC_DCTL,-0.09029374045923931,0.13121854109289094,-0.6881172409569731,0.49137895414111565
fixed,location_binWBC_DNCTL,-0.032719536182649125,0.10597568413627934,-0.3087456943478984,0.7575149817045972
fixed,location_binWBW_DCTL,0.07792787315452687,0.13197523928237778,0.5904734371255073,0.5548732890974644
fixed,location_binWBW_DNCTL,0.050611614582863354,0.10639232261261208,0.47570739448133537,0.6342828521719847
fixed,location_binWC_DCTL,0.2342163144858184,0.1399465446182161,1.6736127006549306,0.09420674079570429
fixed,location_binWC_DNCTL,0.055755198309106704,0.10672037772925116,0.5224419131138877,0.6013626800332712
fixed,location_binWW_DCTL,0.44658593316378237,0.11280530457421789,3.9589089790539105,7.529292238729112e-5
fixed,location_binWW_DNCTL,0.19139459484624688,0.11958341039768573,1.6005112599627858,0.10948521101696507
fixed,is_modal_location,0.02626370107717975,0.03541094870624937,0.7416830679982516,0.45827938092635867
