"ServerName","avg_speed","sd_speed","location_entropy","win_rate","serve_efficiency","n_serves","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"ajla tomljanovic",99.7393617021277,7.75018672309277,2.96355432565023,0.595744680851064,0.441489361702128,188,0.0258565405877938,0.034009042671593,0.0272264410840704,0.415632821114334,0.407480319030535,0.414262920618057,0.515692175834568
"aleksandra krunic",96.3513513513514,7.54971183779654,2.608755186076,0.567567567567568,0.540540540540541,74,0.160633227480539,0.101016417018469,0.127354169214094,0.379907313060001,0.439524123522071,0.413186371326447,-0.267383518516846
"aliaksandra sasnovich",90.3846153846154,11.0694096608052,2.83501967148348,0.47008547008547,0.367521367521368,117,0.0120740324526957,0.0504351524206565,0.0996837835026603,0.355447335068672,0.317086215100711,0.267837584018707,-1.24061946428981
"alison riske",97.3125,6.37756905856567,2.57171149189333,0.53125,0.40625,32,0.0061223932012181,-0.024577720200075,-0.0710193514823914,0.400127606798782,0.430827720200075,0.477269351482391,-0.110894505365079
"alison van uytvanck",101.329787234043,7.76729883144968,2.88894295675804,0.51063829787234,0.382978723404255,94,-0.0445649964208502,-0.0491708556321784,-0.0632536252762409,0.427543719825106,0.432149579036434,0.446232348680496,0.76828736454525
"alizé cornet",94.5837104072398,6.85886995644262,3.0149921140914,0.619909502262443,0.334841628959276,221,-0.0401929374121671,0.00502146978034246,-0.0111110606883986,0.375034566371443,0.329820159178934,0.345952689647675,-0.393948984281444
"alycia parks",104.305555555556,11.1427604798412,2.6917303552273,0.5,0.305555555555556,36,-0.18878043788644,-0.134862348059938,-0.140324529674318,0.494335993441995,0.440417903615493,0.445880085229874,1.21343351032101
"amanda anisimova",96.7252747252747,7.5983418279779,2.95600247861443,0.56043956043956,0.373626373626374,91,-0.0169475272643052,-0.0893996810363042,-0.084481723688461,0.390573900890679,0.463026054662678,0.458108097314835,-0.034041662008437
"ana bogdan",97.0561797752809,9.17922500016626,2.68933545288652,0.561797752808989,0.404494382022472,89,0.00703088218665632,-0.0339970996971086,-0.0171176124824567,0.397463499835816,0.438491481719581,0.421611994504929,-0.101247512183325
"anastasia pavlyuchenkova",99.2598039215686,6.31802113753735,2.84215906787483,0.593137254901961,0.411764705882353,204,0.00466419816394675,0.00628242091768472,0.0299368746140424,0.407100507718406,0.405482284964668,0.381827831268311,0.370910559150081
